height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee2,0.021,231.306,0.007,0.169,0.009,0.127,17.93,383.926
3,63,committee1,0.216,260.747,0.2,4.854,0.23500000000000001,4.009,104.888,809.934
5,1,committee0,0.006,272.93,0.005,0.126,0.006,0.091,20.998,1485.006
6,35,committee2,0.114,249.839,0.114,2.422,0.128,1.954,22.03,1824.083
