height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee1,0.685,272.192,0.586,1.745,0.777,0.92,16.993,413.901
3,5,committee0,3.336,259.356,3.192,7.14,3.067,3.988,26.92,776.858
4,24,committee3,17.044,305.177,15.14,34.645,14.832,19.486,68.987,1282.916
5,35,committee2,28.805,288.578,21.412,49.57,21.548000000000002,27.514,23.876,1755.851
6,5,committee1,3.781,312.008,3.179,7.833,3.259,4.484,32.99,2170.876
7,21,committee0,12.192,332.9,13.249,31.443,14.108,17.04,29.114,2616.997
8,9,committee3,7.134,275.675,5.881,12.439,5.354,6.941,23.009,3003.897
