height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee2,0.016,232.863,0.006,0.18,0.008,0.132,24.997,394.91
3,63,committee1,0.217,262.603,0.204,4.886,0.229,4.063,106.096,834.023
4,1,committee3,0.007,241.962,0.006,1.254,0.09,1.102,24.051,1154.996
6,9,committee2,0.036,275.342,0.033,0.731,0.047,0.571,15.894,1852.986
7,26,committee1,0.096,295.798,0.087,1.682,0.09,1.352,31.089,2253.049
