seconds,sent,received,accepted,fast,commit,wallet,member,before_committee,committee_pending,oldest_committee_ms
0.0,0,0,0,0,0,0,0,0,0,0
0.5,20,16,16,15,1,0,0,4,15,436.19
1.0,40,38,38,37,8,1,1,2,30,734.016
1.5,60,57,57,56,27,8,8,3,30,713.802
2.0,80,74,74,74,47,27,8,6,27,733.95
2.5,100,97,96,94,47,34,27,3,50,1233.95
3.0,120,118,118,116,74,47,47,2,44,965.472
3.5,141,139,139,138,100,74,74,2,39,869.347
4.0,160,158,158,156,118,100,100,2,40,956.136
4.5,180,177,177,177,146,118,118,3,31,788.037
5.0,201,198,198,195,146,118,118,3,52,1288.037
5.5,221,218,218,216,177,146,146,3,41,972.473
6.0,240,238,238,237,195,177,177,2,43,1049.191
6.5,261,258,258,257,222,195,195,3,36,880.804
7.0,281,278,278,277,243,222,222,3,35,845.209
7.5,300,297,297,295,271,243,243,3,26,599.382
8.0,321,317,317,315,287,271,243,4,30,755.092
8.5,340,337,336,336,287,287,276,3,50,1255.092
9.0,360,357,357,355,309,309,297,3,48,1213.994
9.5,380,378,378,377,332,309,309,2,46,1099.966
10.0,400,398,398,397,357,332,332,2,41,919.467
10.5,421,418,418,416,378,357,357,3,40,928.237
11.0,441,438,438,436,399,378,378,3,39,934.154
11.5,460,457,457,456,419,399,399,3,38,913.392
12.0,481,477,477,476,419,419,399,4,58,1413.392
12.5,501,497,496,496,453,419,419,4,44,1110.454
13.0,521,518,518,516,472,453,453,3,46,1119.159
13.5,541,536,536,536,498,472,472,5,38,946.851
14.0,561,556,556,556,524,498,498,5,32,835.42
14.5,581,578,578,575,524,524,524,3,54,1335.42
15.0,601,597,597,596,556,524,524,4,41,969.404
15.5,621,618,618,616,571,556,556,3,47,1142.511
16.0,641,637,637,637,595,571,571,4,42,1012.123
16.5,661,658,658,657,618,595,595,3,40,959.367
17.0,681,677,677,677,653,618,618,4,24,587.473
17.5,701,698,698,695,653,618,618,3,45,1087.473
18.0,721,717,717,717,677,653,653,4,40,994.521
18.5,741,738,738,738,697,677,677,3,41,1021.429
19.0,761,758,758,755,728,697,697,3,30,717.553
19.5,781,777,777,777,747,728,705,4,30,659.021
20.0,800,798,798,796,765,747,747,2,33,765.425
20.5,800,800,800,800,792,765,765,0,8,629.49
21.0,800,800,800,800,800,800,800,0,0,0
