height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee0,0.789,236.392,0.665,1.619,0.741,0.849,22.985,403.947
3,16,committee1,12.408,275.445,10.675,21.645,9.363,12.046,22.948,762.903
4,47,committee2,36.222,256.761,29.347,68.665,29.942,38.064,55.992,1237.929
5,1,committee3,0.841,220.446,0.692,2.38,1.167,0.892,30.935,1544.897
6,16,committee0,10.482,342.287,10.488,22.693,9.794,12.554,25.012,1999.93
7,19,committee1,14.353,300.522,11.82,27.363,11.849,15.251,26.004,2395.886
