send_order,send_offset_ms,fast_ms,durable_to_submit_ms,accepted_to_prepare_enter_ms,send_to_commit_ms,block_observed_ms,members_observed_ms
1-20,0.4775,201.548,48.7415,425.664,1237.4465,1526.65,1588.8475
21-40,1.23,185.579,6.6125,425.962,1236.6585,1522.8735000000001,1588.0985
41-60,1.434,200.5335,16.0885,461.7645,1236.35,1525.6245,1587.966
61-80,1197.69,120.3685,0.479,272.31500000000005,802.24,1101.1635,1137.4445
81-100,1589.2475,138.20600000000002,0.521,276.865,806.6215,1023.389,1039.904
