send_order,send_offset_ms,fast_ms,gateway_queue_ms,response_to_committee_ms,accepted_to_prepare_enter_ms,send_to_commit_ms,block_observed_ms,members_observed_ms
1-20,0.376,224.5345625,1546.4845,1889.872,295.4695,2698.735,3074.5428745,3102.6270210000002
21-40,0.6375,223.92820849999998,2109.0785,2648.534,288.77700000000004,3489.2465,3796.9365,3848.083875
41-60,1.7715,221.355479,1505.0695,1966.796,314.1925,2930.3945,3271.1100415,3288.2051455
61-80,2213.7264999999998,165.2930835,2053.9535,2165.108,318.84299999999996,2818.8779999999997,3085.0935625,3086.050604
81-100,3113.2825000000003,126.980354,1360.0055000000002,1504.445,276.3805,2062.949,2337.647688,2339.5315419999997
