order,index,height,fact,proposer,first_submitter,sent_ns,fast_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,gateway_persist_ms,gateway_queue_ms,install_fanout_ms,response_to_committee_ms,fast_to_committee_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_observe_lag_ms,member_apply_from_commit_ms,block_observed_ms,members_observed_ms
12,14,2,84f806af47656a0c577128db00d3588319541e8b3e9d6e4debdd8d0bddb260f8,committee1,org0-member0,1789784311699991000,1789784311787910000,1789784311873696000,1789784312127707000,1789784312374893000,1789784312377820000,0.381,87.920042,7.296,67.026,0.14,13.457,45.449,-2.987,62.813,99.383,85.786,0.062,0.972,11.617,0.813,202.751,0.01,0.836,0.941,0.03,21.147,14.893,427.716,205.368,1.056,0.278,0.012,0.511,39.941,-9.954,-0.084,250.113,664.952125,677.749042
13,15,10,759c422af0f464846ffd7afa8a4f8ff7e5b33638e83e3c41c24f8f7d51afff5b,committee1,gateway0,1789784311699999000,1789784311925049000,1789784314449197000,1789784315189813000,1789784315502889000,1789784315560778000,0.389,225.0515,9.628,96.38,7.975,111.067,606.723,1931.956,103.725,2643.19,2524.148,0.05,2.224,405.517,4.838,251.164,4.033,0.567,0.723,5.271,44.271,22.008,3489.814,285.409,0.998,0.283,0.012,4.06,22.309,-2.784,-10.184,370.965,3800.12475,3850.613708
14,16,9,50f09dcf747901fe4779f522207bf8699ee3a325c02de6dddf16218abfc955f1,committee0,gateway0,1789784311700001000,1789784311924859000,1789784314058107000,1789784314864782000,1789784315195792000,1789784315189867000,0.391,224.858625,6.053,114.341,11.226,93.238,936.147,1208.158,83.764,2237.712,2133.248,0.058,0.831,370.018,8.355,335.593,5.921,0.545,0.753,10.958,42.718,30.982,3164.781,235.835,13.818,0.289,0.012,8.999,72.051,-20.301,-12.622,325.085,3475.506334,3477.259875
15,17,12,c339b1a8e49be1d93398691fb1d205c9c038e908af220fdde2ce02b953c322f5,committee2,org0-member2,1789784311700005000,1789784311925120000,1789784315503710000,1789784316039846000,1789784316345762000,1789784316348718000,0.395,225.116334,8.983,111.32,0.087,104.725,741.441,2901.032,97.862,3683.402,3578.59,0.055,0.809,109.495,5.758,354.032,8.166,0.584,0.734,1.554,27.955,27.048,4339.841,267.244,1.299,0.278,0.012,4.36,32.718,4.418,11.16,308.872,4650.196792,4659.894959
16,18,6,fbc1c2d3c121695ae881329c17461929f83aeaab1001e90a73340f7a639b4e51,committee1,gateway0,1789784311700012000,1789784311924382000,1789784313073696000,1789784313574757000,1789784313911772000,1789784313907820000,0.402,224.371208,10.699,95.129,7.5,111.042,549.964,657.95,55.893,1267.856,1149.314,0.045,2.082,128.181,5.225,251.649,7.741,0.545,0.696,0.052,72.893,31.996,1874.745,283.442,1.157,0.368,0.017,5.255,46.751,-37.376,5.719,333.063,2174.394917,2213.53725
17,19,9,513d170ae1bd2e31b4e6cd570b1a913bc383ea96896a523fc18fba23964bc676,committee0,gateway0,1789784311700014000,1789784311924278000,1789784314058108000,1789784314864782000,1789784315195792000,1789784315189867000,0.404,224.265333,14.418,90.999,5.791,113.056,255.343,1913.083,83.769,2252.677,2133.83,0.063,1.498,369.35,8.355,335.593,7.226,0.629,0.817,9.505,42.718,30.982,3164.768,235.835,13.818,0.289,0.012,8.999,72.051,-21.476,-12.803,325.085,3474.318458,3477.06725
18,20,8,3983067b58b228d1bde2445586578dee4d362dac81e59560fc8adf7799cd46c8,committee2,gateway0,1789784311700017000,1789784311924085000,1789784313701138000,1789784314398736000,1789784314776822000,1789784314800872000,0.407,224.069083,8.094,96.799,6.297,112.878,229.507,1611.964,53.896,1896.228,1777.053,0.055,0.786,272.707,5.559,318.522,8.915,0.757,0.834,2.668,57.91,28.938,2698.719,342.525,1.664,0.275,0.013,4.532,29.068,-2.105,-19.913,402.136,3074.714458,3080.956958
19,21,13,d8f7e0033b0d8d56fa4d0bfdd388b430a3db1b6e59f7eb75cb031bd97828723a,committee0,org0-member1,1789784311700026000,1789784311925146000,1789784315799470000,1789784316404792000,1789784316741819000,1789784316769822000,0.416,225.121042,10.046,96.088,7.932,111.054,629.586,3317.027,58.85,3993.31,3874.324,0.044,1.531,262.861,7.87,253.094,8.9,0.759,0.881,6.744,36.711,25.97,4704.766,295.42,1.141,0.274,0.012,6.3,33.876,8.334,-13.489,365.03,5050.150834,5056.330834
20,22,8,276272f0c66a11e2741374f25593fa160ecd20c134deb888b116a953bc2b84b6,committee2,gateway0,1789784311700027000,1789784311870336000,1789784313553172000,1789784314398736000,1789784314776822000,1789784314800872000,0.417,170.309875,6.693,81.573,11.908,70.135,66.903,1626.014,67.887,1764.879,1682.836,0.108,28.734,392.725,5.559,318.522,3.215,0.684,0.861,8.415,57.91,28.938,2698.709,342.525,1.664,0.275,0.013,4.532,29.068,-5.752,23.437,402.136,3071.057917,3124.297084
21,23,10,975c9e40ea1812f90a91aed577a31d2a000fe480c35eab9743146bf7bb24b0a8,committee1,gateway0,1789784311700030000,1789784311924954000,1789784314681212000,1789784315189813000,1789784315502889000,1789784315560778000,0.42,224.924792,10.547,95.721,8.228,110.428,682.455,2136.061,55.955,2874.914,2756.258,0.057,2.065,173.661,4.838,251.164,7.911,0.551,0.78,1.351,44.271,22.008,3489.783,285.409,0.998,0.283,0.012,4.06,22.309,-2.824,-10.265,370.965,3800.053333,3850.501167
22,25,9,5de553d5620f136e6d7d348029a62ab12ac4ce4976b173483298891e2a6c8549,committee0,gateway0,1789784311700040000,1789784311925175000,1789784314058106000,1789784314864782000,1789784315195792000,1789784315189867000,0.43,225.136125,16.607,89.665,8.497,110.366,694.47,1473.074,83.786,2251.794,2132.931,0.083,2.819,368.031,8.355,335.593,10.086,0.675,0.933,6.482,42.718,30.982,3164.742,235.835,13.818,0.289,0.012,8.999,72.051,-20.336,-12.581,325.085,3475.432542,3477.262459
23,24,10,8417a900cb9c489514c9db4512439b025b7d3093fe9be2d11d2b401fd548e032,committee1,gateway0,1789784311700041000,1789784311924247000,1789784314449102000,1789784315189813000,1789784315502889000,1789784315560778000,0.431,224.207709,16.942,88.766,7.048,111.45,464.998,2073.991,103.588,2643.353,2524.855,0.097,0.957,406.879,4.838,251.164,0.019,1.36,0.986,8.228,44.271,22.008,3489.772,285.409,0.998,0.283,0.012,4.06,22.309,-3.641,-10.75,370.965,3799.22525,3850.00525
