case,kind,grant,delay_s,offered_units,admitted_units,not_started,not_started_ratio,closed_units,public_payments,partial_approval_payments,actual_obligations,actual_obligation_fraction,fulfilled,repaired,retry_payment_fraction,child_fast_p50_ms,child_fast_p95_ms,max_unready_payment_age_at_stop_s,max_ready_unclosed_payment_age_at_stop_s,elapsed_s,CAL_per_backing_CAL_per_s_input_window
gate-r2-cal-low-parallel,1,3600,1,6000,203,5797,0.9661666666666666,75,179,62,59,0.7866666666666666,59,0,0.7198697068403909,1.425,6246.467,358.702046,0,360.002331,0.006944444444444445
gate-r2-cal-low-serial,1,3600,1,6000,3191,2809,0.4681666666666667,3191,6382,0,1503,0.4710122218740207,1503,0,0.827326856784707,2618.718,16879.116,0,0,309.217485,0.2842592592592592
