Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,259,91,409
2,1000,1000,753,753,247
3,1500,1500,1235,1235,265
4,2000,2000,1728,1728,272
5,2500,2500,2207,2207,293
6,3000,3000,2708,2708,292
7,3500,3500,3206,3206,294
8,4000,4000,3697,3697,303
9,4499,4499,4180,4180,319
10,4999,4999,4676,4676,323
11,5499,5499,5163,5163,336
12,5999,5999,5656,5656,343
13,6499,6499,6140,6140,359
14,6998,6998,6635,6635,363
15,7498,7498,7131,7131,367
16,7998,7998,7624,7624,374
17,8498,8498,8115,8115,383
18,8998,8998,8613,8613,385
19,9498,9497,9112,9112,386
20,9998,9997,9625,9625,373
21,10497,10497,10111,10111,386
22,10998,10997,10769,10661,337
23,11498,11497,11262,11202,296
24,11998,11997,11758,11594,404
25,12497,12496,12247,12247,250
26,12997,12996,12733,12733,264
27,13497,13496,13222,13222,275
28,13995,13995,13717,13717,278
29,14496,14495,14214,14214,282
30,14995,14994,14710,14710,285
31,15495,15494,15212,15212,283
32,15995,15994,15696,15696,299
33,16495,16494,16192,16192,303
34,16995,16994,16685,16685,310
35,17495,17494,17192,17192,303
36,17995,17994,17680,17680,315
37,18494,18493,18166,18166,328
38,18994,18993,18665,18665,329
39,19494,19493,19149,19149,345
40,19994,19993,19633,19633,361
41,20493,20492,20114,20114,379
42,20993,20992,20767,20608,385
43,21493,21492,21253,21086,407
44,21993,21992,21751,21642,351
45,22493,22492,22251,22242,251
46,22993,22992,22750,22750,243
47,23493,23492,23239,23239,254
48,23993,23992,23732,23732,261
49,24493,24492,24233,24233,260
50,24993,24992,24726,24726,267
51,25492,25491,25229,25229,263
52,25992,25991,25724,25724,268
53,26491,26490,26218,26218,273
54,26991,26990,26719,26719,272
55,27491,27490,27217,27217,274
56,27991,27990,27704,27704,287
57,28491,28490,28196,28196,295
58,28991,28990,28703,28703,288
59,29489,29488,29191,29191,298
60,29989,29988,29671,29671,318
61,30489,30488,30164,30164,325
