Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,232,232,268
2,1000,1000,726,726,274
3,1500,1500,1208,1208,292
4,2000,2000,1697,1697,303
5,2500,2500,2186,2186,314
6,3000,3000,2682,2682,318
7,3500,3500,3187,3187,313
8,4000,4000,3688,3688,312
9,4499,4499,4179,4179,320
10,4999,4999,4674,4674,325
11,5499,5499,5170,5170,329
12,5999,5999,5655,5655,344
13,6499,6492,6140,6140,359
14,6999,6999,6649,6649,350
15,7499,7499,7138,7138,361
16,7999,7999,7624,7624,375
17,8498,8497,8121,8121,377
18,8998,8997,8613,8613,385
19,9498,9498,9267,9267,231
20,9998,9998,9750,9750,248
21,10497,10497,10233,10233,264
22,10997,10997,10727,10727,270
23,11497,11497,11212,11212,285
24,11994,11994,11707,11707,287
25,12494,12494,12206,12206,288
26,12994,12994,12696,12696,298
27,13493,13493,13189,13189,304
28,13993,13993,13685,13685,308
29,14492,14492,14179,14179,313
30,14992,14992,14671,14671,321
31,15492,15492,15168,15168,324
32,15991,15991,15669,15669,322
33,16488,16488,16157,16157,331
34,16988,16988,16646,16646,342
35,17488,17481,17147,17147,341
36,17988,17986,17633,17633,355
37,18488,18488,18135,18135,353
38,18988,18988,18630,18630,358
39,19487,19487,19125,19125,362
40,19987,19987,19616,19616,371
41,20487,20487,20113,20113,374
42,20987,20987,20609,20609,378
43,21487,21487,21114,21114,373
44,21987,21987,21605,21605,382
45,22486,22484,22108,22108,378
46,22985,22984,22599,22599,386
47,23485,23485,23251,23251,234
48,23985,23985,23734,23734,251
49,24485,24485,24217,24217,268
50,24985,24985,24708,24708,277
51,25485,25485,25206,25206,279
52,25985,25985,25702,25702,283
53,26485,26485,26195,26195,290
54,26985,26985,26684,26684,301
55,27485,27485,27182,27182,303
56,27985,27985,27683,27683,302
57,28485,28485,28181,28181,304
58,28984,28984,28677,28677,307
59,29484,29484,29176,29176,308
60,29984,29984,29675,29675,309
61,30483,30483,30177,30177,306
62,30982,30982,30675,30675,307
63,31482,31482,31177,31177,305
64,31982,31982,31693,31693,289
65,32482,32481,32186,32186,296
66,32979,32979,32679,32679,300
67,33479,33479,33170,33170,309
68,33979,33979,33670,33670,309
69,34479,34479,34171,34171,308
70,34978,34978,34667,34667,311
71,35478,35478,35157,35157,321
72,35978,35978,35650,35650,328
73,36478,36478,36140,36140,338
74,36978,36978,36638,36638,340
75,37477,37477,37137,37137,340
76,37977,37974,37634,37634,343
77,38477,38472,38124,38124,353
78,38977,38974,38629,38629,348
79,39477,39477,39121,39121,356
80,39975,39975,39615,39615,360
81,40475,40475,40106,40106,369
82,40975,40975,40603,40603,372
83,41475,41473,41096,41096,379
84,41975,41974,41591,41591,384
85,42475,42475,42254,42084,391
86,42975,42975,42752,42579,396
87,43475,43475,43238,43076,399
88,43975,43975,43738,43738,237
89,44474,44474,44227,44227,247
90,44974,44974,44710,44710,264
91,45474,45474,45196,45196,278
92,45974,45974,45686,45686,288
93,46474,46474,46168,46168,306
94,46974,46974,46691,46691,283
95,47473,47473,47192,47192,281
96,47972,47972,47684,47684,288
97,48472,48472,48188,48188,284
98,48971,48971,48679,48679,292
99,49471,49471,49171,49171,300
100,49971,49971,49664,49664,307
101,50471,50471,50156,50156,315
102,50970,50970,50651,50651,319
103,51470,51470,51141,51141,329
104,51970,51970,51626,51626,344
105,52470,52465,52130,52130,340
106,52970,52970,52617,52617,353
107,53470,53470,53120,53120,350
108,53969,53969,53610,53610,359
109,54469,54469,54100,54100,369
110,54969,54969,54592,54592,377
111,55468,55468,55100,55100,368
112,55968,55968,55601,55601,367
113,56468,56468,56090,56090,378
114,56967,56966,56591,56591,376
115,57467,57466,57077,57077,390
116,57965,57965,57742,57579,386
117,58464,58464,58233,58233,231
118,58964,58964,58725,58725,239
119,59464,59464,59216,59216,248
120,59964,59964,59711,59711,253
121,60464,60464,60193,60193,271
122,60964,60964,60686,60686,278
123,61464,61464,61162,61162,302
124,61964,61964,61699,61699,265
125,62464,62464,62176,62176,288
126,62963,62963,62679,62679,284
127,63463,63463,63169,63169,294
128,63962,63962,63661,63661,301
129,64462,64462,64154,64154,308
130,64962,64962,64647,64647,315
131,65462,65462,65141,65141,321
132,65962,65962,65644,65644,318
133,66459,66459,66148,66148,311
134,66959,66959,66640,66640,319
135,67459,67459,67137,67137,322
136,67959,67959,67635,67635,324
137,68457,68457,68132,68132,325
138,68957,68957,68630,68630,327
139,69457,69457,69118,69118,339
140,69957,69952,69615,69615,342
141,70456,70453,70106,70106,350
142,70956,70956,70598,70598,358
143,71456,71456,71084,71084,372
144,71956,71956,71580,71580,376
145,72456,72456,72073,72073,383
146,72956,72955,72571,72571,385
147,73456,73455,73067,73067,389
148,73952,73951,73564,73564,388
149,74450,74450,74225,74061,389
150,74950,74950,74714,74580,370
151,75450,75450,75205,75205,245
