height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee0,0.851,209.056,0.688,1.485,0.661,0.798,18.966,331.871
3,63,committee1,52.127,250.722,38.87,89.752,38.846000000000004,49.919,36.989,815.905
5,1,committee2,0.694,272.127,0.668,1.601,0.711,0.852,17.975,1431.843
6,35,committee0,22.696,253.176,22.402,52.465,22.589,29.267,39.04,1853.884
