send_order,send_offset_ms,fast_ms,durable_to_submit_ms,accepted_to_prepare_enter_ms,send_to_commit_ms,block_observed_ms,members_observed_ms
1-20,0.6175,209.799,-82.13550000000001,231.4865,815.2875,1135.603,1162.0955
21-40,1.2055,209.702,-93.66650000000001,225.5,814.6995,1134.782,1162.7585
41-60,1.359,209.5815,-87.4075,217.9845,814.546,1134.6315,1184.8045
61-80,1147.301,102.59049999999999,-23.801499999999997,236.85500000000002,706.583,978.6545000000001,1030.0720000000001
81-100,1163.7315,111.901,-30.262,219.69400000000002,690.1525,962.1655000000001,1012.8035
