Second,Sent,Ready,Public,Closed,Pending
199,99401,99401,99168,99002,399
200,99901,99901,99659,99497,404
201,100401,100401,100155,99989,412
202,100900,100900,100648,100648,252
203,101400,101400,101148,101148,252
204,101900,101900,101640,101640,260
205,102400,102400,102123,102123,277
206,102900,102900,102610,102610,290
207,103395,103395,103098,103098,297
208,103895,103895,103578,103578,317
209,104395,104395,104073,104073,322
210,104895,104895,104569,104569,326
211,105395,105395,105067,105067,328
212,105892,105892,105559,105559,333
213,106392,106388,106050,106050,342
214,106892,106891,106541,106541,351
215,107392,107392,107038,107038,354
216,107892,107892,107528,107528,364
217,108390,108389,108021,108021,369
218,108882,108882,108654,108497,385
219,109382,109382,109143,109143,239
220,109882,109882,109632,109632,250
221,110382,110381,110123,110123,259
222,110881,110881,110611,110611,270
223,111381,111381,111105,111105,276
224,111881,111881,111598,111598,283
225,112381,112381,112085,112085,296
226,112881,112881,112573,112573,308
227,113380,113380,113064,113064,316
228,113880,113880,113561,113561,319
229,114380,114380,114054,114054,326
230,114881,114880,114535,114535,346
231,115380,115380,115044,115044,336
232,115880,115880,115541,115541,339
233,116380,116380,116021,116021,359
234,116881,116880,116506,116506,375
235,117380,117380,117004,117004,376
236,117880,117878,117654,117492,388
237,118380,118380,118153,117985,395
238,118880,118880,118633,118633,247
239,119381,119380,119133,119133,248
240,119881,119880,119625,119625,256
241,120376,120376,120110,120110,266
242,120876,120876,120592,120592,284
243,121376,121376,121075,121075,301
244,121877,121876,121553,121553,324
245,122377,122376,122045,122045,332
246,122876,122876,122551,122551,325
247,123376,123376,123031,123031,345
248,123875,123875,123512,123512,363
249,124376,124375,124011,124011,365
250,124876,124875,124512,124512,364
251,125376,125375,124999,124999,377
252,125876,125875,125505,125505,371
253,126376,126375,125993,125993,383
254,126875,126875,126496,126496,379
255,127375,127375,126992,126992,383
256,127875,127872,127493,127493,382
257,128376,128375,128146,127979,397
258,128874,128874,128638,128638,236
259,129373,129373,129137,128969,404
260,129873,129873,129630,129462,411
261,130374,130373,130123,130123,251
262,130873,130873,130621,130621,252
263,131373,131373,131115,131115,258
264,131868,131867,131604,131604,264
265,132368,132367,132081,132081,287
266,132867,132867,132572,132572,295
267,133367,133367,133054,133054,313
268,133867,133867,133543,133543,324
269,134367,134367,134055,134055,312
270,134867,134867,134560,134560,307
271,135368,135367,135049,135049,319
272,135849,135848,135526,135526,323
273,136348,136347,136017,136017,331
274,136848,136847,136504,136504,344
275,137348,137348,137004,137004,344
276,137849,137848,137492,137492,357
277,138347,138344,137973,137973,374
278,138847,138845,138469,138469,378
279,139347,139345,138958,138958,389
280,139847,139845,139457,139457,390
281,140346,140343,139953,139953,393
282,140847,140846,140606,140606,241
