Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,221,221,279
2,1000,1000,716,716,284
3,1500,1500,1228,1228,272
4,2000,2000,1720,1720,280
5,2500,2500,2219,2219,281
6,3000,3000,2718,2718,282
7,3500,3500,3227,3227,273
8,3999,3999,3722,3722,277
9,4499,4499,4215,4215,284
10,4998,4998,4704,4704,294
11,5498,5498,5208,5208,290
12,5998,5998,5690,5690,308
13,6498,6498,6187,6187,311
14,6998,6998,6683,6683,315
15,7498,7498,7194,7194,304
16,7998,7998,7695,7695,303
17,8498,8498,8178,8178,320
18,8997,8997,8690,8690,307
19,9497,9497,9181,9181,316
20,9997,9997,9676,9676,321
21,10496,10496,10178,10178,318
22,10995,10995,10664,10664,331
23,11495,11494,11155,11155,340
24,11995,11994,11648,11648,347
25,12494,12494,12151,12151,343
26,12993,12993,12656,12656,337
27,13493,13493,13155,13155,338
28,13993,13993,13657,13657,336
29,14493,14493,14162,14162,331
30,14993,14993,14654,14654,339
31,15492,15492,15160,15160,332
32,15992,15992,15663,15663,329
33,16492,16492,16170,16170,322
34,16992,16992,16669,16669,323
35,17492,17492,17169,17169,323
36,17991,17991,17665,17665,326
37,18490,18489,18159,18159,331
38,18990,18989,18654,18654,336
39,19490,19489,19148,19148,342
40,19989,19988,19654,19654,335
41,20488,20488,20161,20161,327
42,20988,20986,20646,20646,342
43,21488,21477,21136,21136,352
44,21988,21987,21625,21625,363
45,22488,22487,22107,22107,381
46,22987,22987,22607,22607,380
47,23488,23487,23111,23111,377
48,23987,23986,23611,23611,376
49,24486,24485,24100,24100,386
50,24986,24985,24595,24595,391
51,25487,25485,25089,25089,398
52,25986,25985,25593,25593,393
53,26486,26485,26091,26091,395
54,26985,26984,26600,26600,385
55,27484,27481,27097,27097,387
56,27983,27982,27600,27600,383
57,28483,28481,28099,28099,384
58,28983,28982,28598,28598,385
59,29483,29482,29089,29089,394
60,29983,29982,29597,29597,386
61,30481,30480,30097,30097,384
62,30981,30979,30591,30591,390
63,31481,31481,31087,31087,394
64,31981,31980,31590,31590,391
65,32482,32481,32248,32084,398
66,32982,32981,32750,32581,401
67,33482,33481,33243,33082,400
68,33981,33980,33743,33577,404
69,34481,34480,34243,34243,238
70,34981,34980,34740,34576,405
71,35481,35480,35234,35234,247
72,35981,35980,35734,35562,419
73,36480,36479,36243,36080,400
74,36980,36979,36744,36575,405
75,37480,37479,37241,37073,407
76,37980,37979,37742,37573,407
77,38476,38475,38233,38233,243
78,38976,38975,38724,38616,360
79,39476,39475,39222,39222,254
80,39976,39975,39728,39728,248
81,40476,40475,40218,40218,258
82,40975,40974,40717,40717,258
83,41475,41474,41218,41218,257
84,41975,41974,41713,41713,262
85,42475,42474,42220,42220,255
86,42975,42974,42726,42726,249
87,43474,43473,43229,43062,412
88,43974,43973,43725,43725,249
89,44473,44472,44219,44219,254
90,44972,44971,44711,44711,261
91,45472,45471,45208,45208,264
92,45972,45971,45702,45702,270
93,46472,46471,46194,46194,278
94,46972,46971,46687,46687,285
95,47470,47469,47200,47200,270
96,47970,47969,47697,47697,273
97,48469,48468,48205,48205,264
98,48969,48968,48703,48703,266
99,49469,49468,49203,49203,266
100,49969,49968,49705,49705,264
101,50468,50467,50199,50199,269
102,50968,50967,50696,50696,272
103,51463,51462,51186,51186,277
104,51963,51962,51682,51682,281
105,52461,52460,52178,52178,283
106,52961,52960,52674,52674,287
107,53461,53460,53173,53173,288
108,53961,53960,53677,53677,284
109,54460,54459,54179,54179,281
110,54960,54959,54687,54687,273
111,55460,55459,55181,55181,279
112,55959,55958,55681,55681,278
113,56459,56458,56187,56187,272
114,56959,56958,56695,56695,264
115,57459,57458,57201,57201,258
116,57959,57958,57697,57697,262
117,58458,58457,58193,58193,265
118,58958,58957,58681,58681,277
119,59458,59457,59178,59178,280
120,59958,59957,59677,59677,281
121,60456,60455,60185,60185,271
122,60956,60955,60677,60677,279
123,61456,61455,61172,61172,284
124,61956,61955,61660,61659,297
125,62456,62455,62153,62152,304
126,62956,62955,62662,62662,294
127,63456,63455,63154,63154,302
128,63956,63955,63656,63656,300
129,64456,64455,64144,64144,312
130,64956,64955,64624,64624,332
131,65455,65453,65112,65112,343
132,65955,65954,65603,65603,352
133,66455,66454,66129,66129,326
134,66953,66952,66630,66630,323
135,67453,67452,67122,67122,331
136,67953,67952,67617,67617,336
137,68453,68452,68114,68114,339
138,68953,68952,68622,68622,331
139,69453,69452,69116,69116,337
140,69953,69952,69615,69615,338
141,70452,70451,70113,70113,339
142,70949,70948,70609,70609,340
143,71449,71448,71111,71111,338
144,71949,71946,71600,71600,349
145,72449,72448,72096,72096,353
146,72949,72943,72596,72596,353
147,73449,73442,73094,73094,355
148,73947,73941,73607,73607,340
149,74446,74443,74102,74102,344
150,74946,74945,74595,74595,351
151,75446,75435,75086,75085,361
152,75946,75944,75597,75596,350
153,76446,76438,76090,76090,356
154,76946,76945,76595,76595,351
155,77445,77444,77092,77092,353
156,77942,77942,77583,77583,359
157,78442,78441,78069,78069,373
158,78942,78941,78574,78574,368
159,79442,79440,79061,79061,381
160,79942,79940,79556,79556,386
161,80442,80441,80206,80206,236
162,80940,80939,80691,80691,249
163,81437,81436,81197,81197,240
164,81932,81931,81685,81685,247
165,82432,82431,82181,82181,251
166,82931,82930,82680,82680,251
167,83429,83428,83172,83172,257
168,83928,83927,83673,83673,255
169,84428,84427,84172,84172,256
170,84928,84928,84675,84675,253
171,85428,85427,85173,85173,255
172,85923,85922,85665,85665,258
173,86423,86422,86155,86155,268
174,86923,86923,86645,86645,278
175,87422,87422,87149,87149,273
176,87922,87921,87639,87639,283
177,88422,88421,88134,88134,288
178,88922,88921,88639,88639,283
179,89422,89421,89134,89134,288
180,89922,89921,89637,89637,285
181,90420,90420,90127,90127,293
182,90920,90920,90628,90628,292
183,91420,91420,91142,91142,278
