seconds,sent,received,accepted,fast,commit,wallet,member,before_committee,committee_pending,oldest_committee_ms
0.0,0,0,0,0,0,0,0,0,0,0
0.5,20,17,17,17,1,0,0,3,16,419.188
1.0,40,37,35,36,8,1,1,3,29,678.968
1.5,60,57,57,55,30,8,4,3,27,654.076
2.0,80,78,78,76,30,8,8,2,48,1154.076
2.5,101,98,98,95,59,30,30,3,39,981.982
3.0,120,117,117,117,80,59,59,3,37,747.774
3.5,140,138,138,136,99,80,80,2,39,924.93
4.0,160,157,156,155,122,99,99,3,35,847.12
4.5,179,177,176,176,122,99,99,2,55,1347.12
5.0,200,197,197,196,146,122,122,3,51,1265.283
5.5,220,218,218,215,182,146,146,2,36,870.356
6.0,240,238,238,237,199,182,182,2,39,951.229
6.5,260,257,257,257,224,199,199,3,33,845.001
7.0,280,276,276,273,251,224,224,4,25,642.343
7.5,300,295,295,295,273,251,241,5,22,537.744
8.0,320,317,315,315,273,271,251,3,44,1037.744
8.5,341,338,338,336,290,273,273,3,48,1168.216
9.0,360,358,358,357,319,290,290,2,39,936.36
9.5,381,378,378,377,337,319,319,3,41,1009.196
10.0,401,397,397,397,367,337,337,4,30,745.204
10.5,421,417,417,416,384,367,367,4,33,838.427
11.0,441,438,438,435,404,384,384,3,34,832.213
11.5,461,459,458,456,424,404,404,2,35,826.247
12.0,481,478,477,476,424,404,404,3,54,1326.247
12.5,501,498,498,496,459,424,424,3,39,944.401
13.0,520,517,517,517,474,459,459,3,43,1083.481
13.5,541,537,537,536,497,474,474,4,40,1001.203
14.0,561,558,558,557,518,497,497,3,40,990.172
14.5,581,578,578,575,547,518,518,3,31,741.493
15.0,601,598,598,596,564,547,547,3,34,816.281
15.5,621,617,617,616,587,564,564,4,30,728.565
16.0,641,639,639,635,587,564,564,2,52,1228.565
16.5,661,658,658,657,617,587,587,3,41,989.141
17.0,680,677,677,676,650,617,617,3,27,657.29
17.5,701,698,698,696,666,650,650,3,32,778.377
18.0,721,717,717,716,686,666,666,4,31,770.263
18.5,741,738,735,735,686,686,666,3,52,1270.263
19.0,761,756,756,756,715,686,686,5,41,1044.386
19.5,781,777,777,776,742,715,715,4,35,872.294
20.0,800,797,797,797,756,742,742,3,41,997.494
20.5,800,800,800,800,777,777,756,0,23,994.416
21.0,800,800,800,800,800,800,800,0,0,0
