height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee2,0.009,253.095,0.006,0.165,0.009,0.105,38.901,375.991
3,63,committee1,0.224,302.504,0.203,4.852,0.231,4.005,68.768,793.921
5,1,committee0,0.008,256.901,0.006,0.141,0.006,0.105,15.864,1435.013
6,35,committee2,0.116,310.93,0.114,2.34,0.128,1.898,22.965,1853.003
