height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee1,0.669,262.018,0.662,1.404,0.662,0.715,20.067,400.963
3,63,committee0,53.822,368.121,39.788,80.499,38.411,41.465,122.081,1101.024
4,1,committee3,0.659,276.659,0.64,1.741,0.984,0.72,23.853,1488.881
6,35,committee1,21.273,310.626,21.176,44.257,21.175,22.718,25.917,2315.891
