send_order,send_offset_ms,fast_ms,durable_to_submit_ms,accepted_to_prepare_enter_ms,send_to_commit_ms,block_observed_ms,members_observed_ms
1-20,0.16999999999999998,178.2015,-100.8945,292.7955,1100.813,1535.7395000000001,1567.8004999999998
21-40,0.7130000000000001,210.2415,-93.4745,260.697,1100.311,1535.6444999999999,1587.1825
41-60,1.399,209.622,-133.3825,287.57500000000005,1099.625,1534.9785,1586.3085
61-80,1542.3600000000001,116.37549999999999,-28.752000000000002,237.6735,773.4705,1100.588,1125.2355
81-100,1580.31,131.902,-30.131999999999998,222.095,735.5809999999999,1066.47,1091.7665
