Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,100,100,17,17,83
2,200,200,126,126,74
3,300,300,255,255,45
4,400,400,355,322,78
5,500,500,453,453,47
6,500,500,500,500,0
