send_order,send_offset_ms,fast_ms,durable_to_submit_ms,accepted_to_prepare_enter_ms,send_to_commit_ms,block_observed_ms,members_observed_ms
1-20,0.0625,219.929,292.322,380.2565,1428.8255,1870.2635,1889.465
21-40,1.004,219.015,402.99350000000004,386.4305,1427.9505,1854.1855,1885.53
41-60,1.6255000000000002,218.324,313.273,333.241,1427.215,1868.913,1884.3845000000001
61-80,1276.1135,108.603,130.831,421.01300000000003,1171.225,1566.3395,1589.1995000000002
81-100,1885.78,124.33949999999999,59.4685,403.9365,1005.106,1234.1825,1253.584
