height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee1,0.783,278.695,0.683,1.683,0.704,0.935,17.971,433.893
3,19,committee0,12.067,349.865,11.88,28.705,12.102,16.314,29.331,907.938
4,28,committee3,21.82,220.385,17.693,40.645,17.626,22.622,136.011,1428.883
5,21,committee2,15.71,376.098,13.261,30.095,13.031,16.77,21.985,1938.882
6,15,committee1,11.822,340.291,10.058,20.987,9.275,11.499,28.03,2457.887
7,16,committee0,10.661,311.264,10.478,25.019,11.288,13.467,26.061,2890.886
