Second,Sent,Ready,Public,Closed,Pending
0,0,0,0,0,0
1,500,500,264,95,405
2,1000,999,771,601,399
3,1500,1500,1269,1206,294
4,2000,2000,1754,1598,402
5,2499,2499,2255,2090,409
6,2999,2999,2754,2592,407
7,3499,3499,3249,3247,252
8,3998,3998,3756,3582,416
9,4498,4498,4246,4246,252
10,4998,4998,4748,4748,250
11,5497,5497,5242,5242,255
12,5997,5997,5742,5742,255
13,6497,6497,6233,6233,264
14,6997,6997,6731,6731,266
15,7497,7497,7225,7225,272
16,7997,7997,7724,7724,273
17,8497,8497,8220,8220,277
18,8997,8997,8718,8718,279
19,9496,9496,9218,9218,278
20,9996,9996,9716,9716,280
21,10496,10496,10218,10218,278
22,10994,10994,10715,10715,279
23,11493,11493,11214,11214,279
24,11993,11993,11717,11717,276
25,12493,12493,12210,12210,283
26,12993,12993,12713,12713,280
27,13493,13493,13209,13209,284
28,13992,13992,13707,13707,285
29,14492,14492,14215,14215,277
30,14991,14991,14723,14723,268
31,15491,15491,15228,15228,263
32,15991,15991,15725,15725,266
33,16491,16491,16226,16226,265
34,16991,16991,16734,16573,418
35,17491,17491,17227,17227,264
36,17991,17991,17715,17715,276
37,18491,18491,18213,18213,278
38,18991,18991,18716,18716,275
39,19492,19491,19210,19210,282
40,19991,19991,19708,19708,283
41,20491,20491,20210,20210,281
42,20992,20991,20706,20706,286
43,21492,21491,21203,21203,289
44,21991,21991,21698,21698,293
45,22491,22491,22194,22194,297
46,22988,22988,22687,22687,301
47,23489,23488,23175,23175,314
48,23989,23988,23679,23679,310
49,24488,24488,24183,24183,305
50,24989,24988,24681,24681,308
51,25487,25486,25193,25193,294
52,25986,25985,25691,25691,295
53,26486,26485,26188,26188,298
54,26986,26985,26681,26681,305
55,27486,27485,27160,27160,326
56,27986,27985,27662,27662,324
57,28482,28481,28176,28176,306
58,28982,28981,28663,28663,319
59,29482,29481,29162,29162,320
60,29982,29981,29656,29656,326
61,30970,30969,30340,30340,630
62,31952,31951,31336,31336,616
63,32935,32934,32335,32335,600
64,33912,33911,33321,33321,591
65,34894,34893,34314,34314,580
66,35871,35869,35319,35319,552
67,36857,36855,36297,36297,560
68,37845,37844,37299,37029,816
69,38809,38807,38273,38009,800
70,39797,39794,39248,38929,868
71,40778,40776,40245,40245,533
72,41762,41761,41237,41006,756
73,42739,42738,42207,42207,532
74,43725,43722,43201,42887,838
75,44702,44701,44189,43860,842
76,45202,45201,44948,44948,254
77,45702,45701,45447,45447,255
78,46201,46200,45944,45779,422
79,46698,46697,46439,46439,259
80,47198,47197,46929,46929,269
81,47698,47697,47432,47432,266
82,48198,48197,47944,47944,254
83,48698,48697,48433,48433,265
84,49193,49192,48927,48927,266
85,49692,49691,49438,49438,254
86,50191,50190,49937,49937,254
87,50691,50690,50427,50427,264
88,51190,51189,50934,50766,424
89,51689,51688,51432,51432,257
90,52188,52187,51926,51926,262
91,52688,52687,52417,52417,271
92,53188,53187,52908,52908,280
93,53687,53686,53405,53405,282
94,54186,54185,53904,53904,282
95,54686,54685,54394,54394,292
96,55185,55184,54890,54890,295
97,55685,55684,55391,55391,294
98,56184,56183,55890,55890,294
99,56684,56683,56388,56388,296
100,57184,57183,56891,56891,293
101,57684,57683,57405,57405,279
102,58180,58179,57891,57891,289
103,58680,58679,58390,58390,290
104,59180,59179,58895,58895,285
105,59680,59679,59382,59382,298
106,60180,60179,59882,59882,298
107,60678,60677,60384,60384,294
108,61178,61177,60886,60886,292
109,61678,61677,61375,61375,303
110,62178,62177,61878,61878,300
111,62674,62673,62373,62373,301
112,63174,63173,62865,62865,309
113,63674,63673,63353,63353,321
114,64174,64173,63836,63836,338
115,64674,64673,64336,64336,338
116,65174,65173,64827,64827,347
117,65674,65673,65320,65320,354
118,66174,66166,65820,65820,354
119,66674,66673,66325,66325,349
120,67173,67172,66838,66838,335
121,67673,67672,67345,67345,328
122,68173,68172,67846,67846,327
123,68673,68672,68351,68351,322
124,69173,69172,68850,68850,323
125,69672,69671,69353,69353,319
126,70172,70171,69848,69848,324
127,70672,70671,70347,70347,325
128,71172,71171,70853,70853,319
129,71672,71671,71358,71358,314
130,72169,72168,71861,71861,308
131,72669,72668,72364,72364,305
132,73168,73167,72865,72865,303
133,73668,73667,73363,73363,305
134,74168,74167,73851,73851,317
135,74668,74667,74335,74335,333
136,75168,75167,74837,74837,331
137,75666,75665,75346,75346,320
138,76161,76160,75847,75847,314
139,76661,76660,76335,76335,326
140,77161,77160,76835,76835,326
141,77661,77660,77331,77331,330
142,78161,78156,77818,77818,343
143,78660,78651,78313,78313,347
144,79158,79151,78803,78803,355
145,79658,79657,79309,79309,349
146,80158,80152,79816,79816,342
147,80657,80656,80352,80352,305
148,81157,81157,80853,80853,304
149,81653,81652,81345,81345,308
150,82153,82152,81837,81837,316
151,82653,82652,82334,82333,320
152,83153,83152,82813,82812,341
153,83653,83652,83316,83316,337
154,84153,84152,83825,83825,328
155,84649,84648,84320,84320,329
156,85149,85148,84816,84816,333
157,85649,85649,85312,85312,337
158,86149,86148,85817,85817,332
159,86647,86645,86314,86314,333
160,87144,87142,86801,86801,343
161,87644,87640,87299,87299,345
162,88144,88140,87793,87793,351
163,88642,88638,88291,88291,351
164,89142,89139,88794,88794,348
165,89642,89641,89296,89296,346
166,90139,90139,89783,89783,356
167,90639,90638,90276,90276,363
168,91136,91135,90778,90778,358
169,91636,91635,91272,91271,365
170,92136,92135,91774,91773,363
171,92634,92634,92285,92285,349
172,93134,93134,92783,92783,351
173,93634,93634,93275,93275,359
174,94129,94129,93770,93770,359
175,94629,94629,94261,94261,368
176,95129,95128,94762,94762,367
177,95629,95628,95263,95263,366
178,96129,96128,95775,95775,354
179,96625,96625,96269,96269,356
180,97124,97117,96776,96776,348
181,97621,97618,97278,97278,343
182,98121,98119,97780,97780,341
183,98621,98621,98272,98272,349
184,99119,99119,98781,98781,338
185,99619,99613,99279,99279,340
186,100119,100119,99765,99765,354
187,100619,100615,100259,100259,360
188,101117,101113,100769,100769,348
189,101615,101615,101270,101270,345
190,102115,102115,101775,101775,340
191,102615,102615,102281,102281,334
192,103115,103115,102784,102784,331
193,103614,103614,103278,103278,336
194,104114,104114,103780,103780,334
195,104612,104612,104270,104270,342
196,104612,104612,104612,104612,0
