Second,Sent,Ready,Public,Closed,Pending
199,99419,99419,99079,99079,340
200,99919,99919,99569,99569,350
201,100419,100419,100067,100067,352
202,100918,100918,100558,100558,360
203,101418,101418,101049,101049,369
204,101918,101918,101550,101550,368
205,102418,102418,102047,102047,371
206,102917,102917,102558,102558,359
207,103417,103416,103045,103045,372
208,103917,103913,103530,103530,387
209,104417,104417,104180,104180,237
210,104917,104917,104681,104515,402
211,105417,105417,105180,105180,237
212,105917,105917,105662,105662,255
213,106413,106413,106153,106153,260
214,106913,106913,106646,106646,267
215,107413,107413,107144,107144,269
216,107911,107911,107635,107635,276
217,108411,108411,108133,108133,278
218,108911,108911,108630,108630,281
219,109411,109411,109127,109127,284
220,109911,109911,109621,109621,290
221,110411,110411,110119,110119,292
222,110909,110909,110620,110620,289
223,111409,111409,111100,111100,309
224,111907,111907,111611,111611,296
225,112407,112407,112107,112107,300
226,112907,112907,112598,112598,309
227,113405,113405,113088,113088,317
228,113905,113905,113586,113586,319
229,114405,114405,114077,114077,328
230,114905,114900,114565,114565,340
231,115405,115401,115061,115061,344
232,115905,115905,115560,115560,345
233,116405,116400,116069,116069,336
234,116901,116901,116548,116548,353
235,117401,117401,117039,117039,362
236,117897,117897,117539,117539,358
237,118396,118396,118025,118025,371
238,118893,118893,118523,118523,370
239,119393,119393,119019,119019,374
240,119893,119892,119506,119506,387
241,120393,120393,120007,120007,386
242,120893,120893,120510,120510,383
243,121393,121389,121010,121010,383
244,121893,121889,121500,121500,393
245,122393,122393,122159,121999,394
246,122893,122893,122490,122490,403
247,123393,123393,123007,123007,386
248,123890,123890,123656,123656,234
249,124390,124390,124148,123987,403
250,124890,124890,124649,124482,408
251,125388,125388,125142,125084,304
252,125888,125888,125628,125628,260
253,126388,126388,126115,126115,273
254,126888,126888,126616,126616,272
255,127387,127387,127109,127109,278
256,127887,127887,127606,127606,281
257,128387,128387,128089,128089,298
258,128887,128887,128589,128589,298
259,129386,129386,129094,129094,292
260,129886,129886,129579,129579,307
261,130300,130295,129907,129907,393
262,130844,130843,130526,130526,318
263,131344,131343,131024,131024,320
264,131843,131843,131524,131524,319
265,132343,132343,132022,132022,321
266,132843,132843,132524,132524,319
267,133343,133342,133008,133008,335
268,133842,133840,133496,133496,346
269,134342,134341,133997,133997,345
270,134842,134840,134489,134489,353
271,135343,135342,134996,134996,347
272,135840,135839,135474,135474,366
273,136338,136334,135959,135959,379
274,136838,136834,136443,136443,395
275,137338,137334,136941,136941,397
276,137838,137834,137443,137443,395
277,138339,138338,138099,138099,240
278,138839,138838,138585,138585,254
279,139339,139338,139079,139079,260
280,139839,139838,139579,139579,260
281,140339,140338,140073,140073,266
282,140838,140837,140560,140560,278
283,141336,141335,141049,141049,287
284,141833,141832,141538,141538,295
285,142333,142332,142037,142037,296
286,142833,142832,142539,142539,294
287,143333,143332,143029,143029,304
288,143833,143832,143527,143527,306
289,144333,144332,144025,144025,308
290,144833,144832,144544,144544,289
291,145259,145254,144878,144878,381
292,145771,145770,145477,145477,294
293,146271,146270,145961,145961,310
294,146771,146770,146454,146454,317
295,147271,147270,146942,146942,329
296,147771,147770,147435,147435,336
297,148271,148270,147922,147922,349
298,148771,148766,148417,148417,354
299,149271,149269,148917,148917,354
300,149768,149768,149418,149418,350
301,149768,149768,149768,149768,0
