kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms,index,save_start_ns,save_end_ns,picked_ns,save_ms,pre_store_ms,queue_ms,queue_during_groups_ms,queue_during_scans_ms,queue_other_ms
new_payment,d48c82cbc926a52fc1d51c2898169f7328a4c1ffdfbfe4c5ab41ae2d0149dd06,,1789785401959102000,1789785402251294000,1789785402265340000,false,98304,7,292.192,0.002,0.01,0.003,14.031,14.021084,0.0045,0.0,306.238,15,1789785401958889000,1789785402265346000,1789785403598475000,306.457,0.213,1333.129,1333.07,0.052,0.00699999999996908
new_payment,dfe9763b13a8666b4a11198b35d2aa8c14977d591e6f4f03a2600e64d6c1b98d,,1789785401959721000,1789785402516296000,1789785402523308000,false,81920,6,556.575,0.004,0.011,0.003,6.994,6.986916,0.00375,0.0,563.587,16,1789785401959498000,1789785402523313000,1789785403598451000,563.815,0.223,1075.138,1075.079,0.052,0.00699999999996908
new_payment,067accfdb9ac27086a680556a57f5204df9a8457f716e056256eb6f237301f2e,,1789785401972750000,1789785402629289000,1789785402637250000,false,98304,7,656.539,0.002,0.01,0.004,7.945,7.937875,0.004584,0.0,664.5,17,1789785401960015000,1789785402637254000,1789785404498651000,677.239,12.735,1861.397,1828.033,0.102,33.262000000000036
new_payment,43dc0a8de4767bba9d47080028139471323880772a49a0bb3dd2864f89d8e203,,1789785401891967000,1789785401911113000,1789785401958262000,false,81920,6,19.146,0.003,0.013,0.004,47.129,47.118417,0.004833,0.0,66.295,18,1789785401891773000,1789785401958297000,1789785405516406000,66.524,0.194,3558.109,3524.725,0.116,33.268000000000015
new_payment,69302b441a4de6d22710a31b7118bb61168dd2c50e137b4cde6bc6fd850a8956,,1789785401861504000,1789785401861504000,1789785401874306000,false,49152,4,0.0,0.003,0.033,0.001,12.765,12.701709,0.027792,0.0,12.802,19,1789785401861261000,1789785401874313000,1789785401898131000,13.052,0.243,23.818,0.016,0.006,23.796000000000003
new_payment,e59fa9ca2fe02e5fee3af5f8c58e3b4c89a485b914602122e66a7a36551ad3fe,,1789785401958937000,1789785402142296000,1789785402156312000,false,114688,8,183.359,0.004,0.011,0.003,13.998,13.985417,0.006375,0.0,197.375,20,1789785401958688000,1789785402156317000,1789785403948548000,197.629,0.249,1792.231,1792.156,0.067,0.00800000000004547
new_payment,9ef907578798ddd63df3b5fe12f048178719501af4379d9b77e106694c50a131,,1789785401972777000,1789785402637257000,1789785402645235000,false,81920,6,664.48,0.003,0.014,0.003,7.958,7.953208,0.003208,0.0,672.458,21,1789785401972590000,1789785402645239000,1789785403030453000,672.649,0.187,385.214,385.176,0.035,0.0030000000000109106
new_payment,dc9058a873c6029f9029242b188c55f81fde6af34180ce43777d9e6c624676ea,,1789785401947086000,1789785402028280000,1789785402042327000,false,98304,7,81.194,0.001,0.008,0.002,14.036,14.004417,0.00425,0.0,95.241,22,1789785401946884000,1789785402042333000,1789785403598465000,95.449,0.202,1556.132,1556.073,0.052,0.00699999999996908
new_payment,b7014a6dfbc742d7453ac788ca5f095e2ebefbfdfc58edb91d51846178d49dd2,,1789785401946955000,1789785401979324000,1789785401992302000,false,81920,6,32.369,0.004,0.021,0.006,12.947,12.93375,0.00425,0.0,45.347,23,1789785401946723000,1789785401992311000,1789785403178325000,45.588,0.232,1186.014,1185.975,0.035,0.003999999999987264
new_payment,4b2ddd11b3686510c791d1d1e02566e9d1e6719b33da8de1865c877694f223bf,,1789785401958988000,1789785402201320000,1789785402216314000,false,81920,6,242.332,0.004,0.011,0.003,14.976,14.970334,0.003583,0.0,257.326,24,1789785401958799000,1789785402216320000,1789785405714336000,257.521,0.189,3498.016,3464.631,0.116,33.26900000000022
new_payment,2249d0812bba8a445e0f4bba86e696b10e1ab7aacc814b9b54b85d637710a05e,,1789785401959104000,1789785402265350000,1789785402284275000,false,98304,7,306.246,0.003,0.009,0.003,18.91,18.9,0.005209,0.0,325.171,25,1789785401947632000,1789785402284281000,1789785404991367000,336.649,11.472,2707.086,2673.721,0.102,33.262999999999785
new_payment,d352ccdc289ade3130dd4b3282cfc685480e888632a0ebea5f8c7ee77dbe357d,,1789785401959590000,1789785402465367000,1789785402484291000,false,81920,6,505.777,0.004,0.015,0.004,18.901,18.892875,0.004541,0.0,524.701,26,1789785401959397000,1789785402484296000,1789785403454344000,524.899,0.193,970.048,969.989,0.052,0.00699999999996908
new_payment,e49c2710835bf0ba8db6c2ec4a3e51c5469650a33679fadf3923bc36e0b2a03e,,1789785401959510000,1789785402408284000,1789785402440353000,false,81920,6,448.774,0.005,0.011,0.003,32.05,32.042791,0.003333,0.0,480.843,27,1789785401959198000,1789785402440360000,1789785403712376000,481.162,0.312,1272.016,1271.957,0.052,0.00699999999996908
new_payment,f3f75bc3b69df3cc6f752a466a0d9e5310ed2833b7df6032e86be24c6a344eb9,,1789785401959418000,1789785402342286000,1789785402357306000,false,114688,8,382.868,0.005,0.01,0.001,15.004,14.995959,0.004583,0.0,397.888,28,1789785401959232000,1789785402357311000,1789785404266363000,398.079,0.186,1909.052,1908.977,0.067,0.007999999999818097
new_payment,c0a5d70addda3c04ee0a03f7373455b4b9127a3aad271811d8beb4656ea562e6,,1789785401959482000,1789785402379298000,1789785402393299000,false,98304,7,419.816,0.02,0.012,0.004,13.965,13.95575,0.004542,0.0,433.817,29,1789785401959298000,1789785402393304000,1789785403278382000,434.006,0.184,885.078,885.02,0.052,0.005999999999992726
new_payment,54ba2a416cdb4a5684331b07055a73a2c22004d1939e01edaff62ac88caddea8,,1789785401972862000,1789785402661264000,1789785402669281000,false,114688,8,688.402,0.002,0.009,0.003,8.003,7.993542,0.004708,0.0,696.419,30,1789785401959943000,1789785402669285000,1789785405933509000,709.342,12.919,3264.224,3230.817,0.137,33.27000000000015
new_payment,e4a1d4dffa8c451272458e12db1017cf30c7fb26e4df69826750cd7f8d6a61b2,,1789785401972736000,1789785402613304000,1789785402621309000,false,98304,7,640.568,0.004,0.01,0.004,7.987,7.976833,0.005542,0.0,648.573,31,1789785401972418000,1789785402621312000,1789785403712380000,648.894,0.318,1091.068,1091.009,0.052,0.00699999999996908
new_payment,e510559613e41b2c9650ae40735a8ab91ea560d8a9f919d620bed42cce00f5d4,,1789785401972473000,1789785402581247000,1789785402589248000,false,98304,7,608.774,0.005,0.014,0.005,7.977,7.967916,0.005458,0.0,616.775,32,1789785401959993000,1789785402589256000,1789785403712373000,629.263,12.48,1123.117,1123.058,0.052,0.00699999999996908
new_payment,eb1efece1ef88252675d1b6261dcfefc75718159e109d95d4cc02b5e407f41fc,,1789785401947039000,1789785402014304000,1789785402028271000,false,81920,6,67.265,0.004,0.01,0.002,13.951,13.946208,0.003583,0.0,81.232,33,1789785401946838000,1789785402028275000,1789785403948457000,81.437,0.201,1920.182,1920.107,0.067,0.00800000000004547
