start_ns,end_ns,start_offset_ms,count,duration_ms,all_install_done_ms,tail_after_submit_ms,facts
1789785405401332000,1789785405516373000,3576.277,4,115.041,45.072,67.611,3eb0c317ad9055ee25c1753f5cf51093a4a0c0ae04878c5826e0d27f22ee441a;347ba919a5e05160702764fa0aea7e3da54ad63f050bf58530b741fb16019b27;311039343859c583bcb5bf1a0da3bc964f315b435055579b1ec0340253d016e6;368f0a4ca08ebcf7ee7c8a69607e7ee8ea109d9fa99179e4322d2491d018e36c
1789785405516375000,1789785405714301000,3691.32,4,197.926,72.047,125.643,44d3f51e1ba09ffa54716e631772c15b0c4910c50816a71c99c463fadd85d556;42ba64dd7b6ea2e15a3a6fb5c368ee98ad5b04747d7d7079b81fce341c404cb7;3f1ed156e16e5c0e41057dd0024ca0220c205a5c0fb819687bd9069f1519a810;43dc0a8de4767bba9d47080028139471323880772a49a0bb3dd2864f89d8e203
1789785405714302000,1789785405807362000,3889.247,4,93.06,47.063,43.642,4c00e8bc4b95a0bd72a520b0a159a4ab46e10ca761b54bae72326b3f962bf572;49eb27056d64eeaa13ce8d94d11c3e1bd0131e11854aa58c51e4833aa40e4a8d;4ad2927b47461538082911a29ca40519d5f53539fbd6702316ddb4ac04df881b;4b2ddd11b3686510c791d1d1e02566e9d1e6719b33da8de1865c877694f223bf
1789785405807362000,1789785405933454000,3982.307,4,126.092,51.019,72.737,52ca6f6a1e12aadf212a57c91c21408a46f9d4a4ac9dd775ffd5ac4f5beb4956;4d522554c771857483772e94b6847e3357dded5c961f64f4c385332f29c2c567;50e483756c607542564d58409279f04d5f3c5c888e979131fb93546c442f16cd;5142d1bd8b2ef0121c4ce0dbdd0174032179fdf5b836daa2b961a4948316c4fb
1789785405933476000,1789785406106366000,4108.421,4,172.89,94.041,76.431,57204341dbb68304a76b55bf3db08c9bedaa13d91a96431cb564574cd2cff669;5605c9ebbc49ff2721b8d370d7fc701b7e9ba7a78e40ecc91232ddfe0d84d626;56764ac5a91598c9cc9b655d95c192e2ff3e7e53c167e9ff9f8db02759b666e0;54ba2a416cdb4a5684331b07055a73a2c22004d1939e01edaff62ac88caddea8
1789785406106367000,1789785406203313000,4281.312,4,96.946,41.239,52.83,83ad7e5905d47befc9b81474943097372482e46a43ae7e1f79ae59d956229d0b;64f1efdca93373027369479e1d2d53763c138d26870c067298dbe25cca8e0695;68a50662b0126fefba0df2150e6ee426442ab6595c58aa80e0e23cb4940a630f;78ebb8535ab08069faacd1b9e0fc12c5a8b6e0761995af62d4fbcc786c36b085
1789785406203314000,1789785406363301000,4378.259,4,159.987,69.152,78.863,93bcbe76a73a44d25d8d96d964ad05c2b9b7600772dd1f724bba88644d5c1b54;8b09ff9a36f7f3c1117c0175f6e01d4ae0b51713bbdb87baa6c6007b8140f6be;8bda483a5f0196a8652661e0cc859575e71c93a1ce205cd7b3660f2a802ad1cd;85de3bed1bb3b5393ac8003492f3f9f29aaec92b3291b1e928bb5601ee664ca2
1789785406363301000,1789785406490307000,4538.246,4,127.006,59.098,67.612,abf66a732c4449667825aa661276ee78866389120f972cc8f14764524b7d766a;9796b92637ee0081026b6a63af443abaf5602b19960932f8ebec43f5a2634864;a1a2a05542aea1f58edb878fa83fa2a84994758b4254302444576fa768c0469c;a8dba535d99e14d051ca11e7eb059caa35392d801803aeb1ab900454772006cd
1789785406490323000,1789785406584287000,4665.268,4,93.964,45.018,47.253,bc85026f149d1d974157006adb423d6f11403edbf9d5352f3f3e1deb609aa475;b574e39586192a0df45a5ecec624b1f3c02ad93517e45bfe942230476623ea87;b98dab03d6e36ce0e113a25228f31699996305651cc0536492f1833e604a1332;af0ddbe144c2ac8c30cd9fbb5199def596048adc9f1c55734dfe45a633e56c57
1789785406584288000,1789785406716334000,4759.233,4,132.046,95.11,35.269,e344a103cbce63498114e96d29e3ae956ec757bfbda27eee93a94d452b2d8bfd;d1f9e3e9a577fe8b7e2b6a5ad821f9db313ac2c6c2324370e8e09305e3873790;cb36ca0a235d4e22e107747e6f631950dd2c64ff6b7b10e0a0a6899d2b5fb60a;dc2fd622d0dcd8df7010c985b284d29c2df2e871a25df9e5cdf3b1cf820b2860
1789785406716335000,1789785406802411000,4891.28,2,86.076,58.042,26.992,ee8b7a7a0d7d05c62e10788380788f0ca17e265724366f0d653a3e0c17cb7bb5;e74bf966ccae0c915743e6b5608258c9785087aecd90221980ac3e975eac9245
1789785406898137000,1789785406948288000,5073.082,4,50.151,30.216,18.932,56764ac5a91598c9cc9b655d95c192e2ff3e7e53c167e9ff9f8db02759b666e0;08b8bc9b13df1f9119e7a1e0842418962f79f811b775896bdeafdebc18e85a87;54ba2a416cdb4a5684331b07055a73a2c22004d1939e01edaff62ac88caddea8;5605c9ebbc49ff2721b8d370d7fc701b7e9ba7a78e40ecc91232ddfe0d84d626
1789785406948288000,1789785406948654000,5123.233,4,0.366,0.332,,78ebb8535ab08069faacd1b9e0fc12c5a8b6e0761995af62d4fbcc786c36b085;57204341dbb68304a76b55bf3db08c9bedaa13d91a96431cb564574cd2cff669;64f1efdca93373027369479e1d2d53763c138d26870c067298dbe25cca8e0695;68a50662b0126fefba0df2150e6ee426442ab6595c58aa80e0e23cb4940a630f
1789785406948655000,1789785406948925000,5123.6,4,0.27,0.241,,8bda483a5f0196a8652661e0cc859575e71c93a1ce205cd7b3660f2a802ad1cd;85de3bed1bb3b5393ac8003492f3f9f29aaec92b3291b1e928bb5601ee664ca2;8b09ff9a36f7f3c1117c0175f6e01d4ae0b51713bbdb87baa6c6007b8140f6be;83ad7e5905d47befc9b81474943097372482e46a43ae7e1f79ae59d956229d0b
1789785406948926000,1789785406949183000,5123.871,4,0.257,0.226,,a8dba535d99e14d051ca11e7eb059caa35392d801803aeb1ab900454772006cd;9796b92637ee0081026b6a63af443abaf5602b19960932f8ebec43f5a2634864;93bcbe76a73a44d25d8d96d964ad05c2b9b7600772dd1f724bba88644d5c1b54;a1a2a05542aea1f58edb878fa83fa2a84994758b4254302444576fa768c0469c
1789785406998094000,1789785406998414000,5173.039,4,0.32,0.243,,b98dab03d6e36ce0e113a25228f31699996305651cc0536492f1833e604a1332;af0ddbe144c2ac8c30cd9fbb5199def596048adc9f1c55734dfe45a633e56c57;b574e39586192a0df45a5ecec624b1f3c02ad93517e45bfe942230476623ea87;abf66a732c4449667825aa661276ee78866389120f972cc8f14764524b7d766a
1789785406998414000,1789785406998725000,5173.359,4,0.311,0.271,,dc2fd622d0dcd8df7010c985b284d29c2df2e871a25df9e5cdf3b1cf820b2860;bc85026f149d1d974157006adb423d6f11403edbf9d5352f3f3e1deb609aa475;cb36ca0a235d4e22e107747e6f631950dd2c64ff6b7b10e0a0a6899d2b5fb60a;d1f9e3e9a577fe8b7e2b6a5ad821f9db313ac2c6c2324370e8e09305e3873790
1789785406998726000,1789785406998969000,5173.671,3,0.243,0.226,,e344a103cbce63498114e96d29e3ae956ec757bfbda27eee93a94d452b2d8bfd;ee8b7a7a0d7d05c62e10788380788f0ca17e265724366f0d653a3e0c17cb7bb5;e74bf966ccae0c915743e6b5608258c9785087aecd90221980ac3e975eac9245
1789785407198157000,1789785407198479000,5373.102,4,0.322,0.307,,8bda483a5f0196a8652661e0cc859575e71c93a1ce205cd7b3660f2a802ad1cd;85de3bed1bb3b5393ac8003492f3f9f29aaec92b3291b1e928bb5601ee664ca2;08b8bc9b13df1f9119e7a1e0842418962f79f811b775896bdeafdebc18e85a87;8b09ff9a36f7f3c1117c0175f6e01d4ae0b51713bbdb87baa6c6007b8140f6be
1789785407198480000,1789785407198737000,5373.425,4,0.257,0.235,,93bcbe76a73a44d25d8d96d964ad05c2b9b7600772dd1f724bba88644d5c1b54;a8dba535d99e14d051ca11e7eb059caa35392d801803aeb1ab900454772006cd;9796b92637ee0081026b6a63af443abaf5602b19960932f8ebec43f5a2634864;a1a2a05542aea1f58edb878fa83fa2a84994758b4254302444576fa768c0469c
1789785407198738000,1789785407199000000,5373.683,4,0.262,0.229,,b98dab03d6e36ce0e113a25228f31699996305651cc0536492f1833e604a1332;abf66a732c4449667825aa661276ee78866389120f972cc8f14764524b7d766a;af0ddbe144c2ac8c30cd9fbb5199def596048adc9f1c55734dfe45a633e56c57;b574e39586192a0df45a5ecec624b1f3c02ad93517e45bfe942230476623ea87
1789785407199001000,1789785407199309000,5373.946,4,0.308,0.288,,dc2fd622d0dcd8df7010c985b284d29c2df2e871a25df9e5cdf3b1cf820b2860;bc85026f149d1d974157006adb423d6f11403edbf9d5352f3f3e1deb609aa475;d1f9e3e9a577fe8b7e2b6a5ad821f9db313ac2c6c2324370e8e09305e3873790;cb36ca0a235d4e22e107747e6f631950dd2c64ff6b7b10e0a0a6899d2b5fb60a
1789785407298464000,1789785407298792000,5473.409,3,0.328,0.311,,ee8b7a7a0d7d05c62e10788380788f0ca17e265724366f0d653a3e0c17cb7bb5;e344a103cbce63498114e96d29e3ae956ec757bfbda27eee93a94d452b2d8bfd;e74bf966ccae0c915743e6b5608258c9785087aecd90221980ac3e975eac9245
