height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee2,0.009,231.706,0.006,0.186,0.006,0.144,20.161,344.071
3,63,committee1,0.25,266.705,0.202,4.587,0.228,3.801,98.085,789.986
5,1,committee0,0.007,341.767,0.009,0.138,0.007,0.092,22.99,1534.941
6,35,committee2,0.132,228.727,0.119,3.6,0.51,2.698,28.004,1818.081
