send_order,send_offset_ms,fast_ms,durable_to_submit_ms,accepted_to_prepare_enter_ms,send_to_commit_ms,block_observed_ms,members_observed_ms
1-20,0.3255,227.58249999999998,-66.601,217.78449999999998,789.6395,1115.56,1203.6745
21-40,0.7875000000000001,245.3385,-59.2445,208.43900000000002,789.1985,1120.5165,1205.6644999999999
41-60,0.9524999999999999,245.19299999999998,-46.9695,208.4115,789.0335,1120.307,1205.3145
61-80,1177.426,134.596,-31.930500000000002,216.7695,640.655,897.375,915.9955
81-100,1201.8339999999998,123.1275,-24.927,203.1005,616.2470000000001,872.9915000000001,891.7935
