height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee2,0.016,233.749,0.005,0.172,0.02,0.122,14.016,371.919
3,63,committee1,0.214,311.655,0.201,4.499,0.221,3.741,101.098,824.039
4,1,committee0,0.006,267.551,0.007,0.153,0.017,0.107,20.962,1149.945
6,35,committee2,0.125,346.967,0.119,2.308,0.121,1.8699999999999999,26.96,1941.929
