height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee2,0.005,232.585,0.005,0.152,0.006,0.118,25.857,364.871
3,63,committee1,0.539,308.4,0.197,4.741,0.229,3.941,28.97,752.938
5,1,committee0,0.008,246.999,0.006,0.152,0.008,0.107,33.904,1408.903
6,35,committee2,0.132,276.854,0.129,2.395,0.131,1.9629999999999999,24.994,1791.942
