height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee0,0.025,220.394,0.005,0.18,0.007,0.147,17.916,338.948
3,63,committee3,0.211,295.912,0.199,4.824,0.253,4.013,52.032,733.009
5,1,committee1,0.006,302.717,0.009,0.127,0.008,0.085,22.081,1462.016
6,35,committee0,0.121,277.856,0.128,2.348,0.14100000000000001,1.897,30.223,1827.209
