lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
4,0,b279b077dfd9183be59a64ea50cf558bae0c7ebc30d851ca4f9a6a1cf676f0fa,1789722578348989000,24719,45931,3239363,7982444,17,48,
3,0,6ef60a884b46f1b3ce8c29b0749568d4433c4d88b1ad012a3a97a08c85e6829a,1789722578348994000,34819,66985,1797562,3751604,10,102,
5,0,c2f2d1e455cc3c310dd3391344924a454eb9d8beb213580a19221dc9754051c8,1789722578349002000,42702,67109,3241606,8508317,11,25,
2,0,a2cc55ecc623f18662c717efd49591c64c29ed9c3ed51e2ab691ac872e8559bb,1789722578366109000,36184,77999,3222373,7262764,57,247,
6,0,6194e288527b9bcbf0a95954f47779ff93bcb603251c3bf66abb85e56b5a2ac4,1789722578366119000,36151,77985,3221952,5565415,118,252,
1,0,13d2329c72b28d02f86158002f397b6a0c556f29bfbccf3859e3e2b66addbc0a,1789722578366153000,36148,78059,3223937,7586072,9,5,
7,0,4c048273c41546ca1c371ad13c4d42f491b189e6f92657b2b2ae63c06c69b40d,1789722578366172000,36225,78148,3223687,8729629,55,83,
0,0,7662ec9d9c26d371bfbcbe3673031ebfc14ee523de5b984373639a530e19c7e8,1789722578366193000,36184,78029,3222012,6053307,8,1,
4,1,6c282346e211025f7ebdb8c0a33fda4569bb07f51dc50f91b7eb3a7c9cff9800,1789722578444333000,38512,90667,3145378,7612159,11,18,
5,1,510a0342cee5894bdb09736dbafe618465d34ff23f843a68bec7b5c037e9e019,1789722578465412000,56481,155542,3129444,7133996,7,30,
3,1,e37cdea0fbdc5480ce732a4c9ab07a75f378a999874843c7a89e6ba834e0943c,1789722578465459000,85949,195502,3125327,8123459,9,5,
6,1,ecaddb0a72344fc1b68379314fc2465b31c3493d9a86713584757713c44787af,1789722578551559000,287963,325415,3038864,8435648,34,56,
2,1,e8b7414fc91f523e0293ee63b037b3d6acb92881e0b722a3319f2ba3319f15db,1789722578551831000,287736,325135,3035670,8292505,22,106,
1,1,a3ca8530b7ca152f75794ddfc093c0fdd9ddefc6898f836895a756c52baf62c9,1789722578601177000,238334,275767,2986176,6210421,50,22,
7,1,3dad3327a119b970f6a2ee1fcf9f3345319025c602f1d10c4a2166618c066b36,1789722578601178000,238383,275784,2986588,6452684,45,106,
0,1,35aee81fbecf5bbb77adb1c3da6b8174cb894d174df87c5dd2ecc09cc8960bb2,1789722578601196000,238288,275788,2986711,6071252,35,300,
4,2,f52b6cac6d3abcfb5d0ec18b506ba6cbde4e42cf3b350f901cdb8df48b8116ee,1789722578661323000,95678,277701,2929593,6442056,2648330,4992512,
5,2,25fa99e7aa13e2f68ac56ded3fc6e0234a0628c83dcdfd71ec6d2d63446490d4,1789722578694134000,145451,244890,2894623,7469882,1207535,3161578,
