transaction,logical_updates,changed,write_sync_ms,commit_ms
241,1,False,0.0,0.0
242,1,False,0.0,0.0
243,1,False,0.0,0.0
244,1,False,0.0,0.0
245,1,False,0.0,0.001
246,1,False,0.0,0.0
247,1,False,0.0,0.001
248,1,False,0.0,0.0
249,1,False,0.0,0.0
250,1,False,0.0,0.0
251,1,False,0.0,0.0
252,1,False,0.0,0.001
253,1,False,0.0,0.0
254,1,False,0.0,0.001
255,1,False,0.0,0.0
256,1,False,0.0,0.0
257,1,False,0.0,0.0
258,1,True,39.52775,39.542
259,1,False,0.0,0.0
260,1,False,0.0,0.001
261,1,False,0.0,0.0
262,1,True,27.288958,27.303
263,1,False,0.0,0.0
264,1,False,0.0,0.001
