index,fact,save_ms,save_to_relay_ms,save_wait_ms
48,355ca9467b9f39184fd6c5c9e29dbf7f984277714fe23d52d2dace3118a0daf8,390.272,445.991,368.448
49,472f9869f87677b2e6e7ab7134d4e60f185ce0378b588faa68c6c54f88cf3861,575.312,406.985,559.887
50,fca36ddb5fa0c474a415b46f3953e66aa0aec04c3a5c41b2ecd66054c5f4585c,229.182,2890.997,202.988
51,4da37ff4d14b5c8829722bed0f244458c20c7eb376d973ec6db864f6bce5e8ad,172.244,812.91,152.983
52,7b245e468edf19870b527f26643c947069620b768906508381be52241766db2e,368.705,1122.213,360.466
53,e6b1c834a65d99fec1e5555591dfc7212f90defaee57c227200bdaeaea1af364,398.603,2125.997,383.466
54,25daccd5b0ae029cb198f6b2682f49a516e0d5618c53329d5c62a1ed6eeeaaaf,600.025,3185.011,591.637
55,97e89544d1f6398fb55bcec8a80cb842b6f3a9d2323762712eef517361eae545,559.337,1246.009,544.005
56,dd4cfb6fb3ede40478e3ca4512812e848a3a3cdebd0fb075018e2cf5854f5d2f,697.228,1801.014,689.057
57,93b03c109c719a2246970f12157825cd3b65958311ab14f23273819b3db1c6a7,673.29,975.09,665.122
58,72f68b570052760bc259f89d222b581a26cf9eaab1e9916c8ad804c3f57d63b2,315.791,1064.997,297.643
59,315d77133daf1b686a2da61f3689316a9dcf2a88bc23e15e57b5c8cf77eace59,641.443,162.068,633.216
60,ca7461d8659fd360d0314aeb07a84c053834e04634031eeb7e767c72b5a52e87,705.12,1425.024,696.948
61,d66adf64e784d58d406ee3e193068ca517e417b4228c37ec94e23d50c44c3018,681.29,1626.084,673.107
62,7685e4f31d06d645349b9d844a674815c4eaf22d3805162189f62e8c2fcd1eec,425.572,945.96,410.316
63,e422c79cc98db6134b01e727b4dd9790b3d902a1fd113e2899a43640655232a4,760.787,1737.035,752.527
64,51665b41f226228212eba28ea772ae1225b0020c74f1a2d501d3c08e84809983,61.497,3184.034,29.535
65,251d7abf4abaf5a07f09fd9b04861291d53217de127139abd0c8553a675a2c79,17.69,2187.056,0.005
66,5a01d0e70114a8372a3250793633425bc43f71f1d96db9055ff6bdeebe20a8a8,31.602,2122.003,0.004
67,4ee6bd33aa52781af4090c75cd051c73dd1fe25907bc8fc22682599873ed0ec0,44.722,1965.947,21.528
68,a70026975064d206cef2352cc897fe1c884d4be3f4d15f6501bab71cbfb56053,140.596,2374.006,120.436
69,12f32435c3724a53b1ba0208ddd687330acb37c5b8df3a201c66055de39e7870,117.714,1290.875,96.395
70,5952329200ee7d9dcf8187d8af1b1a40e6269452616701019693702103f9a12c,182.436,1935.071,160.252
71,8c6382e0ab8f0f2f201c93969a818e3a2f05313469282ab0f7106c17d3706bfb,160.564,2233.06,140.38
72,2cb0c47e906664750197f1c29e3cade6612db6b49afa8715fd6a119754b1706b,120.623,1734.058,99.549
73,60c7eb20550d56a74c645dc07560526739faff3b410624019598eb1e6f8237d6,132.495,1588.065,113.316
74,5aa8ff2f420682bd2a2a9bf682c08b0b6c95cc4e0fb11d8e9e3e39e8e4fe6f36,336.607,1380.089,317.469
75,25ec68f38b1fbdfa1dad337c9121132cd04083725b94caf5ce171276560f6b64,81.402,1383.138,56.186
76,ee0ff85dbf771f5d6d577f6431fe66d8754b9841fc84a52a052f8de58a9a4668,174.439,294.15,158.295
77,96533dde78a3ed928a97eafdfd11c82ada415a81a160a362345cf999bce3d852,193.388,1803.088,185.253
78,9ff5ff057d553012434b102e330a8eb0e8fe085709eccaa83897d9eba50a4672,274.709,1718.066,256.533
79,72f473911b7fc7f2e46916a232d777a015bcea85ee7fc74c5a354d22ce384dc3,241.392,1605.967,193.124
80,128284e4629be7432f22bf97b1e1996fe2821081526e230345ae058d3fe42c5f,351.503,638.019,336.298
81,87454bea965e10d0f39ca3a955e375d0cbcac231adb6a802733e0bf477d573f6,292.651,1700.083,274.494
82,70a5264427e9497766a8d46ad9ea385a87ffdd19caae75e145adc57d523faa11,185.67,1661.998,174.241
83,a9f059daff5c2ad369dfc32b1f429214fd56b82effd7bafc805cf329c133d959,158.479,1958.979,132.285
84,339bc2bba0a081a77047144e69a5ab356400a2fbc06ad1af3dfdfd07e6188748,260.252,1197.096,241.168
85,b643b9990b302dfaa5c145e0ac7ae3a7b611d0326d78702ba2607cd826122fba,113.643,2164.035,98.449
86,eb05e2ce7952e24971182049982dc8f364093d122d91cacd1fe8ca32367dfe66,105.365,370.176,81.217
87,f67019ea50d08146534b304a028169a2b42b49beafdbd4fc7771d421b40b53d1,317.693,147.104,292.473
88,3e161675c5c653b787bc12b71e29a5c9b0b1fc66a67268b139f87824dc84c9e1,371.335,1211.913,351.092
89,187f5222a388d48d8437f0c7134ec82affd6fbcb19a522e72e9a8e9637a34908,134.684,599.021,111.543
90,c5ce799f1732a89a45aa89bbe38f812bfdd6e98918eb13bd0694a1214ee9728b,141.753,1729.999,120.598
91,8643420effc0dd9e5d85afba11e6b4c231b6cb47eb9de3108ff140b3101ac344,177.94,1347.342,165.165
92,1d5ed31eb182d5ea51a8e243965d5465b596c7dfcffe408807c8d8adacf6c42c,150.7,642.95,124.064
93,584a9eb4d3d98142a326cd8de6b073de0683e12567c1916c48853000b2a5b8f2,29.293,837.292,0.005
94,b0f814a0192589d3448d550091b9ea3f4fffce889642bdd90ead7960fc160248,94.601,1279.988,81.381
95,cf4d66fc657e468856024cbbffef613765d7543e45bd532304bbe82f3a8d03c8,108.534,1426.024,87.29
96,81af491efbc57b8da159d4dad10609d70d2d43af338bb3b46aa47013266d40f6,81.563,1023.075,66.517
97,ec20f3675f0e72972d2aa0892b0894ab82e5d9ca2f5ae73a94d4d695c30f945a,140.49,1394.072,107.892
98,af4e6e8f242f76e2f815a294a47ed033261c1ecdfca895e3a8009d6d4cc02f70,116.556,1258.025,101.162
99,3681efb27b6faa5155df14876e0dc98a778e6d76639d38902a5c6a760fcf0fe9,120.814,586.098,108.633
