lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
0,13,c42efba805ebf58ffff6d56e41be1e4c22f55ca6dd3776937640e7bd0a44f890,1789722600184065000,169425,251718,3657540,5407314,3393207,5155012,
4,15,a84eda194ac7a14697de0cca5a8c5e85da42749a023e94a466968bea438ad671,1789722600484952000,256739,314947,4150467,5305221,3099216,4978637,
5,14,f295ebe8245d154133907cb4dec9ea57f667213b63aa75cf75d89efc708bc05c,1789722600485253000,74873,138549,4150252,5427086,3206812,4967730,
2,14,960a5c445d28092c13042264bc8ae19d49de5873d0e98049c7545e58b204f358,1789722600485424000,74598,138399,4150632,5293111,3215859,4986855,
0,14,121fc861f7bc349981521d7670dc96e9b534f6604161140c6091dbe98e39c811,1789722600514057000,286817,363813,3407222,5269990,3021748,4905491,
6,14,f29c27482911cbc68f5d77bcfb550f7668e5140f240911097c653b1e59854e6a,1789722600514059000,205823,246803,4995089,5528665,3080746,4973322,
1,14,5eeaf8f94b6e9107156f27f24df18b4e017230156be3e626caefc065e658903d,1789722600514097000,286615,363758,4122498,5398217,3021513,4905503,
7,13,573c927d038c9fe0860301b6bdefe2c340ccb6b1cf66086e0f426e56ab8cf52c,1789722600546206000,63813,112623,4090064,6317836,3181382,5023709,
3,13,0fc4d5b2cb06f67dae06e927796071c5118bcae0e4576dc50418cbbe42244a09,1789722600570239000,100989,166717,4066473,5759985,3104394,4946860,
2,15,6f465e5d382491ec036b0c1e7aa755d424325a414282210529062e01e958cbab,1789722600670182000,252634,417724,3965457,5120621,2812244,4702269,
5,15,76dad3bd805b9da81722fab2c30f100a19977477f86680a13e0a71f5e47240b1,1789722600690050000,244582,397839,3946875,5100233,2811995,4696160,
7,14,119734f0e00d8efbf2f1bf0df2c042b1a72fa8f53f0698724827edca535e9b08,1789722600737206000,305641,396853,4772132,5261761,2766635,4656745,
6,15,dfc4faf8d3afbab600f29067b4a9eaefa94e73017015e483d982f206c1e9f5d4,1789722600800736000,232109,333307,4708703,5623832,2766380,4656241,
3,14,9beabfabceb7ae840518ac83edb5f9f153d5678cc56d3829f7d8e51648c3b562,1789722600800860000,324829,418016,3838496,5112454,3416545,4693441,
0,15,877d982588d59d4afd2c14b23c7b4d1b02144663695e9ded546a267612b597af,1789722600947007000,315878,344892,3692420,5000279,3343609,4620443,
1,15,72fb41662d5edf27ca32124126b00ffacfb8a159a6c81179283ff23f09d9ecee,1789722600947013000,197075,232331,3689478,5000248,2741940,4718554,
7,15,26d50b1f5cdec360afc51579c30c0c263e384e4c3c2975550e88d35841372e3c,1789722601251089000,228566,280909,4258104,5296750,3103645,4380367,
3,15,9917a2826f276a34d89a9f532dc67b01e3b0d9011a8a715fab3fefc81566b862,1789722601292399000,414126,451410,3347114,4654869,2891922,4168571,
2,16,fb9ee87763607e31fa64d5a8f15ad87ef3d75e381962668bb3e770e1c69bc87c,1789722605068072000,125534,197970,2548526,4285538,20,646376,
1,16,080721fd6b002ff13ebe98d76107b89e929684cc551fe1370508afb50117561c,1789722605125994000,174503,275128,2490487,3711455,165,546170,
0,16,b3e379e1ea9d0c544418a1bd9c001f2b06b79f4c1ab805bafb336d1b520e4812,1789722605126006000,174384,275091,3889843,6015245,226,546189,
5,16,e0f6551aee1191faa78cf655b94537e23d8ef164262fb33584fecef3bce5fe47,1789722605126007000,109675,174007,2490331,3811714,43,612545,
4,16,add11116ab405695069ba85a2c1eb0fb799586c2d5404beff8053381c15dc447,1789722605126013000,133593,222889,2490376,4128959,43,563707,
3,16,1851347d4ec2f1090f4326f2bb8b3d99c8a9013b2c432a4325f47edf638d2bb0,1789722605126026000,133586,222905,2490701,4015261,28,564410,
2,17,445f76beaecc60063d975be2fd9a6e27382957fe2149f3b9987f1732b0a85e26,1789722605349471000,163537,240421,3666077,4473127,21,357420,
5,17,679be71750851a9e3e37c0384c563fba8f2dc9d2146fd5d3e5e1adc2394038ea,1789722605401393000,177167,229474,3614365,4767599,67,368130,
3,17,f7186921ee6fc55a69e7696338a1c834549c741e31a006cca14d3137b67b6504,1789722605481266000,97322,149608,3534579,5851512,93,411882,
4,17,e1f81608a753ac9f65a1fcaaf988b79c2e3d7d91bff7c974ef535712bb422ef3,1789722605481552000,97105,149345,3534401,5940769,24,467816,
1,17,2e1c8f57367b5623f23e0132dd9aed65233ad42f078de40fce557f8dff18f865,1789722605509460000,156173,232312,3506015,6224730,415,588483,
0,17,29875fc62571f72bfc674dff844f54c50d8639b7bf60d77f1182b3f7f7ca08f4,1789722605509657000,142039,182448,3505993,6129401,101,537629,
2,18,27b3e8de13238e4844ed702ba0bbbbf72ab97b6b11d2382023929b4f5b20a937,1789722605661038000,81560,122814,3354946,4679793,20,640746,
3,18,a2d009f2ca0cf9b7e271f2dfcaaa16d06181f473a02b9b0a2fbe50ad66b966d7,1789722605692288000,86896,159611,3323360,5211644,20,579309,
5,18,0d3379defdb03b56cf725e522093a7dbbece1294272cb08cf68de2b16993ab37,1789722605692321000,86870,159593,3323539,6246924,21,695951,
4,18,5ba423f37adf999b1460f7c6a8f807c77817a55c55fb7e4a3f359a35a5da3024,1789722605692413000,102346,189443,3323194,5260875,20,982216,
0,18,2ab3c189d0ca93e40ff729696346647e45f666753462517dca9a9cb4eb56da7d,1789722605803050000,327774,365880,3214107,4537800,2846512,3653674,
1,18,ea69a9dd630dff2378ed2cb953eda2a47fe409cf35b64d1a7725473f81512283,1789722605865464000,237325,303432,3150589,5755912,1447836,3184720,
2,19,ac3ec3db5b27edd0d378ba387b6d30e8a2b92750aefa811647c83383462927d8,1789722605882133000,135730,219722,3133619,4929329,1514539,2835872,
7,16,bf0f0d864f91286be50ea4391b5f1142f05de02abc1f43e68deb0123bdf88222,1789722605924993000,79714,116899,3090988,5330364,1574452,2795562,
5,19,184bbf2da29d8166fd0546ad28de0d4c01dfcc10294c37e3fd9e489fd9b14b65,1789722605968182000,118563,179160,3047873,5323451,1469145,2993951,
3,19,dcd644fd3a17c6e692dd48d5185aa284cab0f6d498cfd18cb7e3bbcd29e6096e,1789722605968505000,178872,276377,3048355,5352416,2770596,3924114,
6,16,3d04247337615a17d1a051fc551da0509b917e101ed5a3d2587455bcf764bc16,1789722605977030000,125730,191861,3038412,4626430,1447713,3086087,
4,19,8c219785cae5de3d240d202cec13d63f64ee25c665a4a2f7137943909dcfbd00,1789722606008209000,139194,236681,3008314,4563398,2770662,4095944,
7,17,956e3f966fb08b2597633d1e50b8445a9bb446e6a6a4a1b3e0cbfee66d8f25c1,1789722606169149000,333558,374711,3971272,6777341,2472004,4597397,
2,20,bc91e74789ed8cdab5f719570c07a279902c6d8f2b60c10f5a77b6b9c4320640,1789722606197201000,265384,323705,3942749,5742030,2494946,4432386,
1,19,bf4e649897f25c3fca24a20d9cc0f81fa40ea56f0a59ededf543ca9099089e25,1789722606229292000,195706,266624,3910449,4889812,2519847,4408019,
5,20,fcb9725525daf993acad8fa09c272bafa01e8e5a1266f7393d15a6b6ad435cc8,1789722606245086000,188654,244844,3895119,6263266,2525722,4081680,
6,17,a32424f79490daed44654a6b3782c2c11f080350a335ade88f3a1d89d4a49776,1789722606288070000,127818,207826,3835177,6884327,2519859,4315569,
0,19,0f5de6a25cd2fb764d66f4721aea6f5acd17b79f0f0aa759da28ae20388aa7bb,1789722606288081000,121879,207813,3834940,5966054,2519762,4107570,
4,20,7ca94779b070c4ce8041bf6f8bf0989bc985237d808e9e526144528899303779,1789722606301039000,114609,188841,3838790,6681489,2525749,3850973,
3,20,ea2ce245f70414f569db9b7a592b863fda0635499074d1e91bb9ceebc895cd89,1789722606359217000,103660,161709,3780868,6029077,2494932,4598179,
6,18,a3cf856f6a829d2c71df645edaaa260ac652c7999b6f381fdd27fc8ca9d519c4,1789722606528108000,259719,409357,4869406,6941614,2079697,4796733,
1,20,1570ef7174a4b49be734240724cf7b60784583b16a4ae2565382f69992727860,1789722606547173000,200485,239706,3593367,6395661,2229106,4504758,
0,20,566e5982416e0c435aef4a46699d34c24c093474ec40b64898b9fcd054f3d21f,1789722606547210000,83422,114737,3576158,6154434,2354012,4593414,
5,21,a4a8c1c17d76bdb3d6bf625aee9f617b6a17e623406129c3ec0cc77739e62c4d,1789722606557153000,327648,413855,3566331,6615245,3151903,4968227,
4,21,f79ab2d117ba371611246a939d0ff79166705951c155a4c603fddb49fb4fdce4,1789722606557249000,307073,380067,3583068,5416644,2079547,4701749,
7,18,d57b3c38fdb275a544cadf51f3a84c36e35c211635b6b8d8828198269c001ff3,1789722606626226000,121601,251901,4730149,7126530,2137933,4454658,
3,21,926bb93291b2a522fe296cadbca988a1f4210bd1650e902043df3162573f5550,1789722606630298000,114561,247605,3492829,6735512,2138089,4443022,
2,21,017ace43441adae290e4a1f4a72e03b60e82e5b1009a1cfad5fa97318e4fb175,1789722606630533000,233815,306635,3509070,5545759,2078901,4485160,
0,21,3c2c409e5a42acd2ec1483e97a4085e6c302c59d924bd5f8c591cad15a2a26d7,1789722606732078000,132324,205195,3390832,6025603,2079256,4684110,
1,21,4e8d9dd5d61d0e956d0b256ae40dff707dc1b8e84c8b6e23209e840fac520741,1789722606937663000,186102,250199,4421184,6008826,2935624,5200436,
3,22,d1d492a1d02a69596fe7c4d98e6bd7085b632dd7d9736c321f9f445cdf8d1504,1789722606971203000,127594,205696,4388031,6781470,2946353,4999395,
7,19,bb1fca6ad49f06356f9c925c225984312bc92a706d5da42479cfaf02ababef1c,1789722606983080000,95528,124976,4414654,6993558,3014969,4831198,
2,22,6227b737ace41ea7bc49ce391e4b153e765c44d17e59319963edf2d3ede3159e,1789722606999081000,115709,356833,4398245,6667288,2783691,5152443,
4,22,974fa34d521f6e1e9ecf2508258a9f023f6a87076a0b3dc3492d7d3d4fa4b021,1789722606999099000,99769,177846,4359938,6370357,2946426,5077195,
0,22,c306bd1fb5ced93e92ea1862ca34ffc7b4321bba58de1962f8e2fe9d7c85a019,1789722606999100000,115919,356829,4359227,6878591,2783817,5345719,
6,19,8974f605f4d3747ae4e49e5b867ba377d07997182cdbfb50da873288001a7db2,1789722607008081000,93707,164851,4348785,6579132,2950198,4800965,
5,22,31a61a428280146258a06bbb8788a9e6e74b8a2a36b2cc2fd4a887cc46645bbd,1789722607078483000,83171,277461,4278067,6151547,2783889,5401740,
7,20,6ba50f86bfbdaa1d93be0141cae7ed7200f2436590616c26b9d66920502e2698,1789722607188023000,381723,443913,4170129,6578895,2508386,5350597,
6,20,2b760146e93ddf6affbc348bd8997fd72261c262e3e85092801944dcfa1e2a62,1789722607229172000,281543,325122,4128781,6000842,2585796,5392197,
1,22,e4693583b780e91ce1e84ee32185eec89cc0f33cd7a20c6b933253a5c9967343,1789722607262226000,184520,252723,4093265,6615478,2625007,5427898,
3,23,9e5d6d930972692c02a9248a7aed4a230b09fc54db318b6ce10f6ad31d35ed8a,1789722607457109000,98256,181841,3900467,6255472,2501480,5533453,
4,23,9d5a4f4ded3ce88c16bcffd46b97855194e41cbc42c0362547ac9140e11902ff,1789722607457165000,94538,164910,3898891,6209767,2518138,5324424,
0,23,263261fc3ad46e9186c5ad48a94c1f3630ecbfeffee778697e0a34b7cb893a57,1789722607515108000,108164,203901,3882505,6994402,3636484,5511007,
5,23,533f0de1264b6f363b2f42ce8041bc0972beb9de8963134194d6509f59be3062,1789722607515115000,108189,203907,3882883,5715634,3637035,5511011,
2,23,ba827f4c459931bd729b8cef0e0963a61726307f270a60cf16f0167af08b905a,1789722607515120000,101644,123855,3842131,6379035,2501571,5533431,
1,23,ff4502ef7935ecadad7f9c567fc6bdf479d69ea45e19cd708ce16045c161511b,1789722607585086000,475683,574774,3812396,6391608,3198096,5407680,
6,21,2f6d861a3afbbced47aab12ff348d0e4ba05ae5037b4d82d9761d93a7b95638f,1789722607632169000,549587,614759,3765606,5956189,3111403,5340897,
4,24,d6e8419be8d8afca6be5f3bc2cdbb5fa345ec309a854c8c3bbb43fe612c91910,1789722607719182000,184463,272696,3678354,5947389,3364504,5238873,
7,21,8abf7187a0ae12eef3115cc86daf5fdd1867435c9bba8b2d765281996156e439,1789722607729126000,446535,517782,3668398,5858699,3111248,5340310,
2,24,cf9a7f667b24ad6cb8e965fd68f253b6bc9c8b508099de94d948f9f6eaba66f8,1789722607771125000,181552,300122,3626566,5820985,3286006,5398483,
3,24,653a45cd907ed5e082b9202375681fd9c4631eb339a9f13fdb42790358e7b861,1789722607771130000,132561,220761,4541769,5796410,3364663,5373926,
0,24,f180416aea4d4238dee57c775229f378100ec548d9ce31ad05bf6d82d84218fb,1789722607903385000,127367,210504,4410352,6340455,3243690,5396550,
5,24,58e5089e07d9e16fba269cada597026363925db9605614f40f1cd02be26e7bc7,1789722607903423000,79558,167807,3493997,5607016,3285642,5298232,
4,25,6e29c7ca2d68cafec5955b79df3ee6ab8aecb5219bad2585f7b5500644a82655,1789722608114071000,370629,472970,4201987,5553393,2810483,5079928,
3,25,f0633cb518bdb063fea4b26d6b92125d30d58304ca5eba5ffc9d73985d87562f,1789722608114102000,115705,166800,4198594,6491131,3077952,5307459,
2,25,7743a38168213b4a9aead528e13b4546dc1687855edbd4e6bcd8616da42794f5,1789722608156082000,73975,124824,4156399,5436603,3078137,5311207,
5,25,ad70142c697805984fdc411c83fe92574aeec79a515a7742c7588c8cba57503b,1789722608156095000,73975,124823,4157219,5664336,3078322,5311766,
0,25,6d163b13025d4ee6d9eabcbfbadaed72a011184c7b3a805be0ec0cbfe9bd489c,1789722608197196000,453609,601659,4114908,5615496,2598839,4953911,
1,24,fe43fcf70e0cd47fda2576604590752298c727d179a33a86e78c5a5f0f00c479,1789722608203253000,243374,316721,4114258,6191092,2877513,5146963,
7,22,85357252db7cb909e4b51f5fb0893183ae81a14e9a28a40fe875585fbb66731d,1789722608321152000,125463,198813,3990149,5658910,2877458,5146611,
6,22,0f666dc005ad71254c5611fbe932d118c8173e863d6039722ee7966db9a9b37a,1789722608321170000,93002,153700,3076989,5345800,2922464,5191508,
2,26,16786db66007901378f4b96f555afa4df9d41ea0c0533dcb6dd994670d8cee64,1789722608367127000,159701,250749,3945986,6244062,2779652,5049589,
5,26,e11e988a7fb85222bbb191195ec1fbdda14f987b732e15137d8e8133b61bc663,1789722608367152000,159670,251116,3948099,5921295,2779350,5134413,
3,26,4b8733064aaa7e23891300821af10fc708dd7186a24ee536e554fb0b0a66ffc8,1789722608367164000,159657,250755,3946365,6349807,2779622,5094669,
6,23,fee345521d98962ada84713fdca13fd1f14fdd6a3841a27820a50c6484636b7f,1789722608587260000,331569,447732,3731894,6018069,3276674,4859171,
7,23,64c84f93efad41e11b0d5bc5a27f5c021cf88604e7780a6c66eca27a551171e0,1789722608618227000,148661,293849,3700061,6339819,2485932,4908358,
1,25,50359cf08a311614f250b8dc4fb6664b88bccfc39e23727929e800c485d987d1,1789722608618468000,79842,293504,3693429,6214832,2485774,4854956,
4,26,7ec37d75a7b7691fbfd75349fa956c7ae789560dccc830714742059e369351d1,1789722608644219000,289594,371035,3667446,5251917,3296049,4862458,
2,27,6b72e359c0580c17e47261b840863383d188a05d6049aa27978267f998ca089e,1789722608650185000,116686,261796,3664049,6307846,2485800,4900714,
5,27,f4d3fd39e16d3e242d3774bbf94fb2554a1364b0080887b1e06877bd2a51bfb9,1789722608689074000,327439,383888,3630274,5941561,3238936,4823175,
3,27,3d1eb11de890d4e98a7b664b3094c4aa2ecf1de3f90576ce91d0a07935f2ee6e,1789722608689092000,147671,260785,3629655,6334502,2448284,4927825,
0,26,4e9673f521c4358165f3205a92871444ae91c96a8bc1938ba83420d7e02f7680,1789722608950093000,197667,306824,3369474,5766806,3055192,4719733,
1,26,456911ef7cedef9f7576bc80373eba00e855691e5bbdb4d8c962798ded4dff69,1789722609035191000,118413,221750,3285155,5576003,3055965,4927507,
7,24,0e2979674f9cc8a0b164815d9ee86fc3462142ea05c14324b8a80801a99d885b,1789722609035196000,118440,221739,3284950,5496221,3055768,4723133,
2,28,ea1d4a5d58aaaa6436f626180ba50b42242f89f8b91fb4fd4d6bb08c06891ef7,1789722609035213000,112522,221736,4395806,5309921,3056169,4986899,
4,27,d12ab7d45b6e21f8f6121395bf0b05dd30425863f53c6cd4dd57ce7215db3457,1789722609069190000,227552,289745,4361713,6423762,2954810,4986200,
3,28,c45796f01bd13aa2bafb6991cfccf7bf2489150b2a0fab0fc125ccb60dc80b79,1789722609073351000,80265,183571,3246592,5111097,3055565,4719782,
6,24,96e839e2a9f99d0a54867ba75176e006b3117aa9ce2dbd921dfa88191815970e,1789722609103187000,70845,153776,3217365,5185846,3056358,5031490,
5,28,21f17c0f45a192b2569bd6eefc35845cd0715284cf7d5c961c9a872767211a93,1789722609131105000,95766,193789,3189649,5263185,2988639,4964139,
6,25,b5f02d12ea59d7a593b863af8c181be8bcea1608f7966e2dfd3901cbe6a433fb,1789722609365083000,117784,147807,4065457,6064937,2804628,5018530,
3,29,6fa10cbe37e6ae1ba56ed70382a01ff80d4ddf23d59d358fa777d5d5b9ee7774,1789722609365086000,117317,147832,2958814,5265535,2805376,5092324,
0,27,b75142b09469cae5cc5b66fb579ab8c32b4abe7d9a73fb448e8ad95a117cbb10,1789722609365089000,117655,147784,4027072,6064909,2801365,4881420,
1,27,0035df62337e8380e9a4679a1e7881ec35fcd6ed7537445188b602c6a354623f,1789722609365099000,117451,147780,2956961,5446387,2802378,4881474,
7,25,60b27a24bbd3fdff354742d26f8cf0c095df3220b3ebcbbbbe2f74e6c77b4f9d,1789722609365131000,117332,147916,2959174,5592912,2805705,5092287,
2,29,467e99cfd518be0dd94548dde6be1803dced96fa41bca3d2f94f17e070d5444d,1789722609365167000,117560,147717,4065242,5858101,2803182,4996637,
5,29,ca0ab805750276d2f2166b35a31036ba7a78a58b99d6dad32a4bfcdf84071dc8,1789722609382103000,100657,131007,4010488,6047868,2806048,5098086,
4,28,e2a90781d247acdb77927cee3730778d8af32fc8d4874b94543c47d0ed2d7c36,1789722609450073000,214570,276804,3942874,5161611,2592476,4884320,
2,30,8205a196889c9d7d0130a96d061153904df5a8c310bda7a90bbb53ed64b7bac6,1789722609549099000,115520,230229,3843179,5383574,2540242,4832357,
3,30,1fa07f52f9a761affac2e4a367855053210522bf8cd5060bab26b07da24585e4,1789722609620412000,95287,159010,3810378,5010786,2540524,4851201,
7,26,d43aef2b8168bc1b7838515d7aafda42e2862f8f3b08c299b35047f402457f54,1789722609620494000,95323,159003,2704382,5010723,2540653,4851145,
1,28,27baee742f95514388fad31c086540e56f65662b6a76dab3afe1392366e165ad,1789722609620591000,147497,284313,3810562,5011097,2415446,4726295,
5,30,485a63a74193c14b6d25538a2c9f5e0d061c1237b8618fba064269ef8c2d1e61,1789722609620613000,159082,365379,4459816,5212930,2336071,4646205,
0,28,e360fe5c4d31fb636b5e6b39ca1fb50d42fe15e5d944bffe6ada2b1a3f537fe4,1789722609621093000,158587,364872,3809569,5011103,2334792,4645724,
6,26,3e0339525b970f249436090e76e9d43ac35c4d5d938949391944bf6746948652,1789722609621554000,146558,364383,4458489,5211156,2334619,4645280,
4,29,df999a90d6942392f1e4bcab7bdfb7d417e7f5bc70bc2d0c0e7f036ee68c13fa,1789722609905364000,115365,161059,3487474,4838981,2257482,4650484,
2,31,137213f05648d0ec34dbdc6d0b891a4afc457d37466c9476e3278971c2d64631,1789722609986199000,125901,236733,4094605,5032402,2101377,4494049,
7,27,85fab83c1e83c0663adf28d76600305f7d22f3ac487a33d0ba4b7a683ac035b2,1789722609986213000,144361,236790,3412820,5613798,3169162,4526436,
3,31,dc5a9e9c901ed628e22fbcecd2cb2508c2a6096179058f7e9f97159d98f42bce,1789722609986229000,143001,236710,3406479,4763209,2101940,4521407,
