lane,sequence,spend,start_unix_ns,fast_us,wallet_ready_us,final_proof_us,credit_closed_us,proof_queue_us,credit_queue_us,error
5,4,a0887a596a6ebb0673dd8d562c3c59e5e867d0c8fa2cc1f6275ca0db8adfcabe,1789722228481662000,120496,174249,4018068,19054846,2598313,16189579,
0,5,5c1e58b5af01b15a409136a679f0d1be32c4993c79812cc965a425fafadcb92a,1789722228509297000,57358,100631,3992167,18146213,1686316,15910893,
0,6,887875dcf91e6a4648a44c93c73ec594eb87a6c62a49ca938094e4b161ea9e3d,1789722228673110000,152265,265804,3826488,19167256,2317986,16992402,
2,5,0101b6fcdd279d367e535984dc89b942214eae93c3dabbc911afb213c9da119d,1789722228681228000,78483,157763,3820474,16967902,2416271,16809281,
5,5,3a72d5cf9bfac6c974e5687319b6d698c66b9b3684f92794d5f49e6e9e5bd55b,1789722228722575000,102831,156419,4835004,17208823,2377847,17046097,
4,6,a1f6222fc6608e6cea70e149c0933c4859cef56d17603e199ccc650dbe260906,1789722228800128000,66866,371901,3699734,18860108,2085055,16760371,
2,6,5be1d19d8880f94345903f015ba30591f40fb4c7ce3bfb2a05a804c73921aa90,1789722228943408000,78355,271685,5746586,19605901,3284508,16993645,
7,5,248d027bf3adac0ea27b586b91f0f93afba6de904043a07b1e8773a0349763be,1789722228943680000,90014,141422,3556448,16988721,2171942,16846298,
5,6,86a2de404cca8203fdf4c5d150b7d923975cd45f3a07b33f13443ac13f6fa14e,1789722228972431000,109256,242642,4585344,18234986,3284268,16885909,
7,6,3b5e0c077cf1ef78abd9233b2e75097ca128a5f2961252be1221b71a2f8217f8,1789722229136125000,104849,174862,4421227,19229497,3188749,17131077,
1,5,3fce5df8679769ec806cca21747dfac10bf5db1c866db6dd17ec0105c073af18,1789722229179362000,184364,213581,4378520,17430060,3106924,17215976,
3,5,b4d943030dbb7a6cc2c32a235d0ae8ad606508c7037102305022327372ab71ed,1789722229179403000,193296,234497,5511468,20954775,3086232,17196081,
6,5,19c6d6aaee7e6d79ffe423bad3258d02ffc6e37e78309cbc102363df29d64274,1789722229179480000,193207,234410,3322714,17430501,3086143,17195532,
0,7,938a92bc8db4d3f2997cd1f32969c608c57e69a0a792ece57b4739a8b96b50b3,1789722229215458000,189712,293670,3286990,20082096,2991759,17347363,
4,7,6d9156d39c14c5268b2bf5d3b2271c1f17e84d2986275bfed791620fe61525df,1789722229266112000,139145,242971,3234536,18072078,2991297,17101907,
5,7,2dd3711640173912fbba104fea37e91ab6b3cb189131e90a6d9a4325bedc5a8c,1789722229311181000,94039,197936,4247568,17545311,2991644,17346957,
2,7,97f3826fc481e61fc1b6e248a084e1b19786f03ba98d25c7112ca6c67fc8d48e,1789722229311181000,93778,197918,5378591,20368077,2991549,17146890,
7,7,1aae6be74810a49a23da849aff8736178bbdcb9219c5ebd5c91800808b927c2b,1789722229341390000,63816,167714,4216296,17314599,2991408,17146414,
1,6,d66079f50a70dddc8bac3f8f2c9ed29c9793af3d960322fe1950aaa1eaf47311,1789722229509632000,96035,167394,4049025,17653071,2824448,17485159,
6,6,7fc00e4bdf482d348a72d809eb6e60cb58686336fa3d6296b61ef05674c03a9a,1789722229576193000,116748,194753,3981781,17587997,2730766,17392578,
3,6,0590c03f82be678859e0b382fa68fc21ca1ecd14b6d9047ace193fcab7e9e460,1789722229576212000,85699,146775,5113315,17587311,2778617,17439718,
0,8,86d16438978aa08e4d7558246c4791e753c3d13d5a37799cc71aa743e78ddfa3,1789722229649452000,93314,161513,5039828,17715707,2690890,17353226,
2,8,178d1d5bcafe69d3bcf264f363816d24f9c833f6ea0434422b3cfce9e05e263b,1789722229649681000,112683,161549,5039968,17559173,2691223,17397156,
7,8,dc7f7ee3b0e6a2256312484a6560688a52064b5a68b24d91178b56a09c6193ee,1789722229649681000,93108,161352,3908689,17558705,2691165,17396877,
4,8,287bd7a07452941a012893f28803d3e2ba641ade4e1f90fd32d5b3242e23ffc7,1789722229649707000,112572,161278,3909138,17558203,2691098,17396438,
5,8,b3198b7130f0bd8c7a18795d695899ff7e47c48d3f5e467273e31bee3a3e2efb,1789722229649777000,112651,161578,5041206,19486830,3746002,17397499,
1,7,51cd8ddbfe9939f6ecaa52705259b75a03bda0efa0b684503b5b35afb6c46a79,1789722229771198000,139700,193700,3787890,17487013,3592691,17292409,
3,7,83567eb3992551a225ec12fa20a2919236e9943788a178bd8afe5c9c28947652,1789722229811488000,105447,178685,4879687,18581227,3567518,17268040,
6,7,7823c380451f31f15ba52c262e51bf0d71277d00c5db65e5f2feff88f39357c2,1789722229910703000,159343,225311,4816751,17930803,3422650,17704364,
7,9,59ed64f5678298ecb23cf2a549899e5d179270fd8193c23175ad29f2b2b35cc8,1789722229943121000,177784,253849,5859320,17898993,3361786,17644538,
2,9,fda151aa1d2a8dc9116cf1485eeeb37a99e87d006239d27ed04482a758a78a58,1789722229943124000,126810,192797,5857880,19535184,3421864,17202277,
5,9,8372ad60ffa4a8df78e44a3776c91e5685aa68545f1e5124d324fd2efc201a71,1789722229943125000,126672,192809,4784509,18603737,3422043,17400589,
0,9,a4656b16d64330fba70c2b7d08afd738cd03810ccddf722589f1a5aecfc2d467,1789722229943127000,126818,192820,4747401,19836888,3422426,17524301,
4,9,2f49b7c29f7c3fe820bb81669e7ee736812e7f380dd5f54887cdb9dad869431a,1789722229943130000,126811,192797,6855096,20060510,3421962,17229236,
1,8,cddc8adaa6532e6c87448790ca0de2f4b0742ffcf0381ad69b1e81af3c99a9de,1789722230047502000,133914,224696,3512058,17795597,3286892,17570407,
3,8,810a617590f198cec11bf0e46f2f2d310dfced212e6df46108c44bd2794b42d4,1789722230082158000,99748,189898,4608504,17760448,3286793,17570059,
6,8,4dd17ff5729b7c48515328d71eecf52c7d711980014c42383ed711521516a9af,1789722230245169000,70711,118788,4444981,19032047,3195605,17479144,
5,10,cc3ff0d9587619a1f9327b284e1a8c2da4890f05bb4c53bd37c6afb29c16b417,1789722230245169000,188522,320997,4445094,18659516,4123840,17826554,
4,10,30daaa61e123e773c05ee975ce16069f140c649fef66704a569f42b8e82eeb63,1789722230245173000,103721,154862,6553150,18121117,4289498,17965597,
0,10,3516286c30e6b5c14a0e8e3db675a57f8d000eb100cbb492dca5e154bbc19c9e,1789722230245183000,103821,154867,4446458,18121597,4289604,17966240,
2,10,c4fab5d81d79c446530dba895440d0ea859203c90f4cd9a9df6c3eb93ba9fd49,1789722230245183000,103685,154851,5556607,19321966,4289253,17960375,
7,10,6f673597b11496f497c1a3b183ca9a3e57bff2d0ec680eff968ce9ac176c506f,1789722230272733000,160749,293448,5529874,18924078,4123969,17826611,
1,9,ca62e0d1fe1d4c2d6a21e18e766797b4b7e477138b0089ac5905cf55f2589038,1789722230341175000,190658,235797,5459950,19713181,4113291,17969895,
3,9,ef217b03912feeac812ef51a5699acb9dfcb9d81860bb1386f2a1f42269c7424,1789722230341185000,108821,199858,5460750,18871360,4148739,17825737,
6,9,0900019b7b98a0d124888f339b392a9b3d96e924919509621f67aebb5cbed800,1789722230510449000,122646,240701,5291777,19421267,3940030,18153537,
2,11,f186c456504c67442c207aba58cf6cc9396a95c97c00ed7ee9c6cd34ae8aa504,1789722230566394000,230272,299552,5235662,18797026,3825936,18194180,
0,11,b064ae91f9b6d723b136c0b4a07af2cd84715bff1326d7fc5198ef939d28d781,1789722230566478000,100996,184657,4125405,19357770,3939748,17843449,
4,11,3f6b4c290dc6e5c562a355027b3ed2332f15b60ce0c6ffab2c2d82f44677e064,1789722230566600000,100849,184532,6231834,18027983,3939534,17842985,
5,11,bd51b09676ca1d8d2d592dc2eb849f4b04540be3fe745d3da42ee18cf44b3c53,1789722230592492000,112361,158651,5210199,19802417,3939848,17935076,
7,11,ee1153168f57e622121c7f41fa890700c5a07d80a0cb2d6625b89c9478d80c6e,1789722230619404000,85666,131727,5182262,18440194,3939404,17798195,
3,10,32cd7b48117867663d5fb764f94961ee13436cef0754399547ef337fc9d8bc58,1789722230619511000,75219,151476,6178732,18440616,3920657,18288610,
1,10,e00a42899112dd88fc58ccac18392b9edfbc5ca35a4dab4755214a9cb2a285df,1789722230728187000,149876,221746,5075032,18415420,4851079,18188251,
0,12,1ef46249d27185ec48ea9394d821ed4fa390fecfb3b1a48409f22562f9450144,1789722230796325000,81547,153601,5996170,18341858,3777716,18187352,
5,12,5f94c04422f3a839e34ec7a6e74fdcdc2d14130bfe687d65d2af06525f0d34cb,1789722230829219000,104126,238695,4973880,18718867,4733215,18075694,
4,12,0d6f4084e9ae8d9878da1f42c19bc14f562c14de4fe3b4f345628516f4e4b29e,1789722230829246000,104562,238721,5992103,18368647,4733830,18129363,
7,12,8802c2c2d53771532093a06b44dab24b9e1432c6f2cffbbb71ca4d2090b4d821,1789722230829270000,56371,120645,4973049,18308009,3777549,18186704,
6,10,33c18604e20aa6da200187c76f99d5806936f58047a98dfaf928f1f01e3370e8,1789722230829293000,104330,238672,5993709,18368037,4733706,18128852,
3,11,2fbd0a9c1cec241616e82f7cf01aca0fae4fe10a487f7cd45ebc6237fceeddff,1789722230848159000,283059,337804,5974396,19265961,4615978,18011930,
2,12,457a3444b9ca4371ec68817969f071b49dac3a8d3331e327cfb319db497d5acd,1789722231004168000,146514,235760,5818046,18273597,4562394,18037295,
7,13,45f885621655e132b3dca8371ae1c140a5f02d2177c22a5771a267bd4b188b46,1789722231068275000,116270,152664,5751925,18144757,4581124,17991614,
1,11,04c433305db2e1be576fe2773001dbe91b3d8630f320c2437d521db97daf65d0,1789722231068429000,116318,152523,4734924,18663765,4581279,17992080,
0,13,383372a701cb9f76b4eebadae9d53cf9d09f8bde976171e2f35964e90ddf113e,1789722231068534000,186463,297546,5753205,19419248,4436535,17912172,
4,13,47d0aad104d05ef805f48897f1007d8d2391c2e15b2710024eea84a338b5931d,1789722231153186000,114262,213221,5669631,18144852,4436289,17931166,
5,13,6ef5521cc1f2d63265c5df9bab7ea7b1cfe6aa6cbb10e3f723cb99b3a62569cd,1789722231153211000,114265,212845,4650313,18125041,4436396,17911711,
6,11,2a32848b58ddd6c50c34ad5b8bc2a041481f67313beb396d6c9888251f837db9,1789722231153286000,114189,213124,5667636,19062341,4436692,17931628,
3,12,4d8cc91a98b6c795defd5c79bb241cda4dcd2d7b5cc420e47dc33751893dc9aa,1789722231291181000,75950,131813,5532002,18072800,4380232,17940434,
2,13,43a2da541fb2b3f2ce9818dab8549d67d2fc7fd3aefd0895419a63058f76b0bc,1789722231366067000,208514,308927,5432129,18113158,5117507,17803803,
7,14,73f3642b07282e86ceb0f7cd06592beaba8f0b4b4d74ed4f3c1fd69410b2f1a5,1789722231367123000,129363,207118,5454417,18111675,4229529,17904080,
1,12,d888c5f4bd83f78466594615ccf53728a44a7affe68a3a4fcf24a79b2e3e56ce,1789722231388504000,47196,83409,4415267,17975992,4331445,17892069,
4,14,8757c5b39386518d1817ab38e25faa6105ebb23ac3dc3445dce548d8fa2fbe65,1789722231429182000,81972,262777,5369464,18050510,5106239,17787267,
3,13,aead06c90190e64a624f6656a433cbb23db7757c9ca25a02059bc2feca416914,1789722231443132000,61784,131072,5377590,18439454,4229324,17790292,
5,14,2a8d822301158566c17298c6099efdd24cb5831ad305b9c192d98c0642684da7,1789722231467148000,123882,254809,5331969,18081678,5076296,17826137,
6,12,03808af0497684e4385e4e5918bdcf17191ca2f6377b47713b837e3c351c46e2,1789722231467155000,123811,254829,5352031,18082181,5076352,17826842,
0,14,607cb3d08fbc0dd92cc1a3a32360f1ebfdb2d72bac5edfbea65420bdaa2855b8,1789722231467173000,107353,254750,5331656,18220634,5076318,17757770,
1,13,588396cc515ed296088598b4a9e5d099fb4f059f71c9c21b4520b6d1f81c4fbb,1789722231510247000,200499,288700,6208185,18039662,4999497,17750391,
3,14,8eedf80a280f01e90905f1fc3b1406c20e790741f4f56798acf7787a8a7d575b,1789722231675224000,89812,171798,5124428,17875181,4951627,17702890,
7,15,45e8017d32ee02f8da0952f3b7b7d125256247c2596d67e1f10b30701c10d5c8,1789722231722246000,201732,303958,5099696,17845422,4792986,17540961,
4,15,973ddce3e5fa3824b8d82d6d3d1d391740fe51f1748a781c24ff610f7ece7d9e,1789722231750241000,53192,117761,5968049,17800633,4930829,17682403,
2,14,8fc727169155649f038f5771211da8dc643dd614ab65f2c504b75cd064d73caf,1789722231803141000,149623,218780,5016022,17748615,4777740,17529386,
5,15,c6a7d2671035f6b06b7cdc08194c0b630dbb30d3cf522a0aadb36098553269c3,1789722231803362000,223174,323553,5963406,18675761,4693809,17441334,
6,13,bb470499a780c8200f2753b60cc3ece5f88d5a713226e0d4e3d17186767e066b,1789722231803555000,120460,222433,5017593,18452482,4793174,17525767,
0,15,78458f9f51817aac80eb64be44f70549e72164971a343a8d9a86aa1791e106f7,1789722231803582000,88264,170410,5914903,17747725,4825127,17576882,
1,14,ed78c8899b7f73232cdbf4db3435795cf0b56a0d23737cb25250f772095a63f6,1789722231868266000,158804,211741,5898659,17699984,4740201,17487662,
3,15,cefe9a06d1d746e03296a0e31350addd79a53c937fb580eec78a87ce00899773,1789722231933120000,258962,291806,4890394,18253456,4596004,17454358,
2,15,4c24f5996f2e56a477270b4b669a3bd45509b22d6e5e533b8993bd16cabe2cad,1789722232059085000,216845,329846,5707923,17673642,4432616,17343273,
6,14,2569a6b0fb6e57e226f796488fee89a122be5b43e4eb383d61539276141e5e14,1789722232090675000,88218,184538,4733006,17597693,4545938,17412600,
1,15,30c3f8fef2200dd7116d5f7973a43bda49daa342d63a6276ba30959d190e72ed,1789722232166638000,109203,222275,5600426,18226408,4432449,17299456,
6,15,45c02a0331554f3754162f4f483fa0637312df69f6add2508fe2f2b8eb08e28b,1789722232417139000,79471,104795,4406728,17316044,4299818,17210798,
