height,payments,proposer,prepare_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,prepare_to_finalize_ms,commit_offset_ms
2,1,committee2,0.825,0.673,1.715,0.758,0.921,14.955,244.627,473.898
3,5,committee1,3.855,3.193,7.489,3.308,4.104,22.056,224.824,805.995
4,19,committee0,11.273,12.455,27.974,12.175,15.478,24.093,294.53,1213.097
5,12,committee3,8.949,7.78,18.598,8.089,10.299,70.977,328.248,1691.921
6,10,committee2,24.852,5.989,15.14,7.024,7.958,35.925,275.204,2119.92
7,16,committee1,25.088,9.706,24.376,10.971,13.126,20.077,251.007,2509.966
8,20,committee0,12.709,12.134,30.735,13.05,17.377,18.845,310.12,2923.892
9,10,committee3,7.052,6.284,15.158,6.568,8.429,15.969,257.878,3288.923
10,7,committee2,5.41,4.648,9.812,4.277,5.422,19.994,165.413,3588.869
