height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee2,0.835,281.289,0.67,1.479,0.638,0.805,13.971,393.939
3,63,committee3,47.896,315.818,38.47,92.41,39.73,51.723,42.083,960.987
4,1,committee0,0.593,313.157,0.663,1.411,0.635,0.75,19.043,1375.982
6,35,committee2,29.259,285.597,21.285,50.633,21.742,28.43,43.903,2209.863
