send_order,send_offset_ms,fast_ms,durable_to_submit_ms,accepted_to_prepare_enter_ms,send_to_commit_ms,block_observed_ms,members_observed_ms
1-20,0.3695,290.47950000000003,255.7545,356.9375,1523.5659999999998,1816.5255,1944.2955000000002
21-40,0.651,272.872,376.815,487.473,1523.333,1830.605,1880.839
41-60,1.1735,272.467,335.41499999999996,362.3285,1522.7745,1830.038,1879.9135
61-80,1616.867,148.714,105.55449999999999,193.93650000000002,887.696,1264.5375,1289.065
81-100,1869.6455,148.428,74.89,276.4755,886.2935,1223.6525000000001,1235.489
