height,payments,proposer,prepare_ms,prepare_to_finalize_ms,process_ms,finalize_ms,final_check_sum_ms,execute_sum_ms,commit_ms,commit_offset_ms
2,1,committee1,0.788,253.677,0.68,1.599,0.734,0.814,21.93,414.925
3,5,committee2,3.781,327.141,3.165,7.684,3.225,4.252,39.02,889.965
4,46,committee3,34.452,318.419,27.525,65.014,28.269000000000002,36.086,162.059,1523.948
5,17,committee0,10.376,248.384,10.837,25.231,11.074,13.902,29.005,1878.939
6,1,committee1,0.808,318.101,0.648,2.439,0.837,1.56,28.976,2284.885
7,20,committee2,14.107,360.831,11.658,29.331,12.531,16.519,27.036,2754.95
8,10,committee3,6.788,312.095,6.091,16.912,6.97,9.587,20.918,3139.973
